GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|TAXIND|TAXIND_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|61|Educational services|61|Educational services|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|7153||5505710||100||1461479||345475||72388|
01000US|United States|1|United States|61|Educational services|61|Educational services|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|22||1003624||18.2||155520||37587||3231|
01000US|United States|1|United States|61|Educational services|61|Educational services|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|33||1458999||26.5||202981||48749||4837|
01000US|United States|1|United States|61|Educational services|61|Educational services|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|60||1994484||36.2||313068||75822||7622|
01000US|United States|1|United States|61|Educational services|61|Educational services|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|190||2430252||44.1||408230||98448||11317|
01000US|United States|1|United States|61|Educational services|61|Educational services|T|Taxable establishments|1997|Reference year 1997|003|All firms|33783|r|14933318|r|100||4903048|r|1101396|r|248685|r
01000US|United States|1|United States|61|Educational services|61|Educational services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|236||822531||5.5||211870||48945||10891|
01000US|United States|1|United States|61|Educational services|61|Educational services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|378||1260703||8.4||299586||70276||15413|
01000US|United States|1|United States|61|Educational services|61|Educational services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|515||1992080||13.3||499538||118179||21358|
01000US|United States|1|United States|61|Educational services|61|Educational services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|676||2932125||19.6||766198||181485||28992|
01000US|United States|1|United States|61|Educational services|611|Educational services|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|7153||5505710||100||1461479||345475||72388|
01000US|United States|1|United States|61|Educational services|611|Educational services|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|22||1003624||18.2||155520||37587||3231|
01000US|United States|1|United States|61|Educational services|611|Educational services|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|33||1458999||26.5||202981||48749||4837|
01000US|United States|1|United States|61|Educational services|611|Educational services|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|60||1994484||36.2||313068||75822||7622|
01000US|United States|1|United States|61|Educational services|611|Educational services|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|190||2430252||44.1||408230||98448||11317|
01000US|United States|1|United States|61|Educational services|611|Educational services|T|Taxable establishments|1997|Reference year 1997|003|All firms|33783|r|14933318|r|100||4903048|r|1101396|r|248685|r
01000US|United States|1|United States|61|Educational services|611|Educational services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|236||822531||5.5||211870||48945||10891|
01000US|United States|1|United States|61|Educational services|611|Educational services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|378||1260703||8.4||299586||70276||15413|
01000US|United States|1|United States|61|Educational services|611|Educational services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|515||1992080||13.3||499538||118179||21358|
01000US|United States|1|United States|61|Educational services|611|Educational services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|676||2932125||19.6||766198||181485||28992|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|519||650920||100||141716||33171||4783|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|15||277473||42.6||35026||8655||1017|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|20||322978||49.6||43383||10579||1213|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|51||398293||61.2||64858||15564||1854|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|90||488731||75.1||89030||21196||2589|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|T|Taxable establishments|1997|Reference year 1997|003|All firms|6056||4902474||100||1688736||380073||53861|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|35||381508||7.8||91077||19761||2344|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|104||597727||12.2||141102||35535||4010|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|169||1039615||21.2||263840||64510||7417|
01000US|United States|1|United States|61|Educational services|6114|Business schools, & computer & management training|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|286||1586398||32.4||455984||110723||12550|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|38||29541||100||13594||3396||631|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|8||14971||50.7||7251||1852||337|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|12||20953||70.9||10097||2558||485|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|24||28021||94.9||13077||3301||609|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|38||29541||100||13594||3396||631|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|003|All firms|581||554044||100||213300||49581||10901|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|24||102000||18.4||29281||6372||1572|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|36||139336||25.1||43540||10020||2194|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|68||221472||40||74740||17492||3740|
01000US|United States|1|United States|61|Educational services|61141|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|123||324226||58.5||116948||27496||5857|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|38||29541||100||13594||3396||631|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|8||14971||50.7||7251||1852||337|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|12||20953||70.9||10097||2558||485|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|24||28021||94.9||13077||3301||609|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|38||29541||100||13594||3396||631|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|003|All firms|581||554044||100||213300||49581||10901|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|24||102000||18.4||29281||6372||1572|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|36||139336||25.1||43540||10020||2194|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|68||221472||40||74740||17492||3740|
01000US|United States|1|United States|61|Educational services|611410|Business & secretarial schools|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|123||324226||58.5||116948||27496||5857|
01000US|United States|1|United States|61|Educational services|61142|Computer training|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|55||33424||100||8904||1927||386|
01000US|United States|1|United States|61|Educational services|61142|Computer training|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|6||16559||49.5||3358||811||101|
01000US|United States|1|United States|61|Educational services|61142|Computer training|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|10||22345||66.9||4735||939||139|
01000US|United States|1|United States|61|Educational services|61142|Computer training|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|22||29000||86.8||6970||1450||236|
01000US|United States|1|United States|61|Educational services|61142|Computer training|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|52||33414||100||8900||1926||385|
01000US|United States|1|United States|61|Educational services|61142|Computer training|T|Taxable establishments|1997|Reference year 1997|003|All firms|2785||2512179||100||970278||222100||28848|
01000US|United States|1|United States|61|Educational services|61142|Computer training|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|62||287807||11.5||108441||27702||2973|
01000US|United States|1|United States|61|Educational services|61142|Computer training|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|67||437363||17.4||144633||35634||3632|
01000US|United States|1|United States|61|Educational services|61142|Computer training|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|148||745456||29.7||272253||69816||7567|
01000US|United States|1|United States|61|Educational services|61142|Computer training|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|225||1095462||43.6||417035||102453||11343|
01000US|United States|1|United States|61|Educational services|611420|Computer training|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|55||33424||100||8904||1927||386|
01000US|United States|1|United States|61|Educational services|611420|Computer training|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|6||16559||49.5||3358||811||101|
01000US|United States|1|United States|61|Educational services|611420|Computer training|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|10||22345||66.9||4735||939||139|
01000US|United States|1|United States|61|Educational services|611420|Computer training|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|22||29000||86.8||6970||1450||236|
01000US|United States|1|United States|61|Educational services|611420|Computer training|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|52||33414||100||8900||1926||385|
01000US|United States|1|United States|61|Educational services|611420|Computer training|T|Taxable establishments|1997|Reference year 1997|003|All firms|2785||2512179||100||970278||222100||28848|
01000US|United States|1|United States|61|Educational services|611420|Computer training|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|62||287807||11.5||108441||27702||2973|
01000US|United States|1|United States|61|Educational services|611420|Computer training|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|67||437363||17.4||144633||35634||3632|
01000US|United States|1|United States|61|Educational services|611420|Computer training|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|148||745456||29.7||272253||69816||7567|
01000US|United States|1|United States|61|Educational services|611420|Computer training|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|225||1095462||43.6||417035||102453||11343|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|426||587955||100||119218||27848||3766|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|15||277473||47.2||35026||8655||1017|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|20||322978||54.9||43383||10579||1213|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|52||392257||66.7||61929||14806||1666|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|84||472642||80.4||82315||19519||2244|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|003|All firms|2690||1836251||100||505158||108392||14112|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|42||309920||16.9||32661||7833||1037|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|64||442717||24.1||59181||13283||1510|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|88||634178||34.5||110926||24283||2489|
01000US|United States|1|United States|61|Educational services|61143|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|126||855431||46.6||183177||39451||4409|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|426||587955||100||119218||27848||3766|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|15||277473||47.2||35026||8655||1017|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|20||322978||54.9||43383||10579||1213|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|52||392257||66.7||61929||14806||1666|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|84||472642||80.4||82315||19519||2244|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|003|All firms|2690||1836251||100||505158||108392||14112|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|42||309920||16.9||32661||7833||1037|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|64||442717||24.1||59181||13283||1510|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|88||634178||34.5||110926||24283||2489|
01000US|United States|1|United States|61|Educational services|611430|Professional & management development training|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|126||855431||46.6||183177||39451||4409|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|1381||963547||100||251151||59168||13167|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|11||286147||29.7||17362||3382||561|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|21||332440||34.5||25104||5146||1030|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|59||418040||43.4||56592||12575||2195|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|157||531712||55.2||103664||23640||3891|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|003|All firms|5465|r|3465093|r|100||1161025|r|275860|r|54310|r
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|110||658286||19||186433||47100||8902|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|147||796221||23||234107||59193||10772|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|188||1008021||29.1||311808||77901||12808|
01000US|United States|1|United States|61|Educational services|6115|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|263||1341008||38.7||425729||103919||16600|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|1381||963547||100||251151||59168||13167|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|11||286147||29.7||17362||3382||561|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|21||332440||34.5||25104||5146||1030|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|59||418040||43.4||56592||12575||2195|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|157||531712||55.2||103664||23640||3891|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|003|All firms|5465|r|3465093|r|100||1161025|r|275860|r|54310|r
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|110||658286||19||186433||47100||8902|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|147||796221||23||234107||59193||10772|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|188||1008021||29.1||311808||77901||12808|
01000US|United States|1|United States|61|Educational services|61151|Technical & trade schools|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|263||1341008||38.7||425729||103919||16600|
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|2||0|D|0|D|0|D|0|D|0|a
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|2||0|D|0|D|0|D|0|D|0|a
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|2||0|D|0|D|0|D|0|D|0|a
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|2||0|D|0|D|0|D|0|D|0|a
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|2||0|D|0|D|0|D|0|D|0|a
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|T|Taxable establishments|1997|Reference year 1997|003|All firms|1805||453884||100||159907||38865||10289|
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|63||29340||6.5||11402||2703||565|
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|103||49917||11||17054||4128||902|
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|147||83335||18.4||28050||6919||1476|
01000US|United States|1|United States|61|Educational services|611511|Cosmetology & barber schools|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|250||128936||28.4||44367||10746||2486|
01000US|United States|1|United States|61|Educational services|611512|Flight training|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|45||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|61|Educational services|611512|Flight training|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|6||0|D|0|D|0|D|0|D|0|e
01000US|United States|1|United States|61|Educational services|611512|Flight training|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|10||0|D|0|D|0|D|0|D|0|e
01000US|United States|1|United States|61|Educational services|611512|Flight training|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|26||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|61|Educational services|611512|Flight training|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|45||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|61|Educational services|611512|Flight training|T|Taxable establishments|1997|Reference year 1997|003|All firms|849||921328||100||260672||62653||12260|
01000US|United States|1|United States|61|Educational services|611512|Flight training|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|70||459626||49.9||129585||33327||5620|
01000US|United States|1|United States|61|Educational services|611512|Flight training|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|74||510507||55.4||147993||37916||6337|
01000US|United States|1|United States|61|Educational services|611512|Flight training|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|88||591814||64.2||177930||44456||7183|
01000US|United States|1|United States|61|Educational services|611512|Flight training|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|125||677344||73.5||200201||49667||8212|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|904||330636||100||109600||26351||6194|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|24||34426||10.4||11671||2602||232|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|36||55341||16.7||19360||4357||385|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|110||93296||28.2||31599||7344||865|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|152||141363||42.8||45078||10588||1511|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|T|Taxable establishments|1997|Reference year 1997|003|All firms|253||91718||100||30612||7165||1303|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|8||36540||39.8||12299||2968||277|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|12||42799||46.7||13885||3337||338|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|24||53986||58.9||18552||4444||576|
01000US|United States|1|United States|61|Educational services|611513|Apprenticeship training|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|55||69634||75.9||22959||5381||757|
