Nonbank Foreign Affiliates of Nonbank U.S. Parents--Revised 1991 Estimates


                                                               Table II.A 2.--Selected Data for Foreign Affiliates and U.S Parents in All Industries



-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                  By industry of affiliate--Affiliate data              By industry of U.S. parent
                                                             ------------------------------------------------------ ----------------------------------
                                                             Number        Millions of dollars           Number of  U.S. parent data   Affiliate data
                                                               of   -----------------------------------  employees  ----------------- ----------------
                                                             affil-   Total    Sales     Net   Employee (thousands) Number    Total   Number   Total
                                                             iates   assets            income   comp-               of U.S.  assets     of    assets
                                                                                               ensation             parents (millions affil- (millions
                                                                                                                               of     iates     of
                                                                                                                            dollars)         dollars)
-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                              (1)      (2)       (3)      (4)     (5)        (6)       (7)      (8)     (9)     (10)
-------------------------------------------------------------------------------------------------------------------------------------------------------
    Fishing, hunting, and trapping .........................     9       (D)       (D)     (D)      (D)         (D)       0         0      0         0
  Mining ...................................................   133    20,244    10,059     726    1,700        90.6      22     9,198     68     2,578
    Metal mining ...........................................    90    16,116     8,281     636    1,343        73.9      11     6,628     51       (D)
      Iron ores ............................................     6     1,143       800      71      227         5.5       2       (D)      3       (D)
      Copper, lead, zinc, gold, and silver ores ............    52    11,798     5,880     554      878        49.9       7     5,853     45     1,723
      Other metallic ores ..................................    24     3,067     1,534      14      208        17.6       1       (D)      2        33
      Metal mining services ................................     8       108        67      -2       30         1.0       1        10      1        10
    Nonmetallic minerals ...................................    43     4,127     1,778      90      358        16.7      11     2,570     17       (D)
      Coal .................................................    12     2,787       833     -27      141         6.9       2       567      3       (D)
      Coal mining services .................................     1         9        54       0        2         (*)       0         0      0         0
      Nonmetallic minerals, except fuels ...................    29     1,326       890     117      215         9.7       8     1,998     13       (D)
      Nonmetallic minerals services, except fuels ..........     1         5         1     (*)      (*)         (*)       1         5      1        13
  Construction .............................................   142     5,507    11,258     342    2,234        66.3      27    18,742    292     8,881
  Transportation ...........................................   267    10,773       (D)     (D)    1,846        91.3      47   124,665    230     6,972
    Railroads ..............................................     7        90        33     -12        9          .2       6    53,193     23       881
    Water transportation ...................................   110     7,030     3,184     623      322        19.4       9     3,330     47       992
    Transportation by air ..................................    21       (D)       (D)     (D)       67         2.8       9    43,794     40     1,297
    Pipelines, except petroleum and natural gas ............     1       (D)       (D)     (D)        2          .1       0         0      0         0
    Passenger transportation arrangement ...................     8       184       (D)     (D)      (D)         (D)       5     1,279     14       (D)
    Transportation and related services, nec ...............   120     3,104     3,901    -175      (D)         (D)      18    23,068    106       (D)
  Communication and public utilities .......................    95    23,864       (D)     (D)    2,759        93.7      32   407,195    335    31,745
    Telephone and telegraph communications .................    37    10,364     4,707     466    1,795        63.5      12   279,130    240    25,263
    Other communications services ..........................    17       508       116     -63       48         1.8       3    11,587      8       (D)
    Electric, gas, and sanitary services ...................    41    12,992       (D)     (D)      916        28.4      17   116,478     87       (D)
  Retail trade .............................................   275    31,223    56,018     808    8,134       722.8      47   192,839    210    28,973
    General merchandise stores .............................     8     5,335     9,278     138    1,781       121.2       5   137,408     21       (D)
    Food stores ............................................    14     8,080    18,290      65    2,007       164.1       5    13,510     10       (D)
    Apparel and accessory stores ...........................    14       636       (D)     (D)      189        19.5       8    15,670     23       (D)
    Eating and drinking places .............................    66       (D)     7,648     313      (D)         (D)       9    14,712     61       (D)
    Retail trade, nec ......................................   173       (D)       (D)     (D)      (D)         (D)      20    11,539     95     3,066

-------------------------------------------------------------------------------------------------------------------------------------------------------
