GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|52|Finance and insurance|52|Finance & insurance|1997|Reference year 1997|003|All firms|395203||2197771283|r|100||264551401||70962334||5835214|
01000US|United States|1|United States|52|Finance and insurance|52|Finance & insurance|1997|Reference year 1997|804|4 largest firms|4069||152697984||6.9478560022||11364287||3100392||292283|
01000US|United States|1|United States|52|Finance and insurance|52|Finance & insurance|1997|Reference year 1997|808|8 largest firms|17894||259567258||11.810476368||23057111||6210374||476103|
01000US|United States|1|United States|52|Finance and insurance|52|Finance & insurance|1997|Reference year 1997|820|20 largest firms|32849||497273962||22.626283538||48366320||14677903||956516|
01000US|United States|1|United States|52|Finance and insurance|52|Finance & insurance|1997|Reference year 1997|850|50 largest firms|55023||847255290||38.550657958||79563158||23681362||1614347|
01000US|United States|1|United States|52|Finance and insurance|521|Monetary authorities - central bank|1997|Reference year 1997|003|All firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|521|Monetary authorities - central bank|1997|Reference year 1997|804|4 largest firms|14||16056000||65.317256729||442040||109791||9754|
01000US|United States|1|United States|52|Finance and insurance|521|Monetary authorities - central bank|1997|Reference year 1997|808|8 largest firms|31||21820000||88.765728813||680983||167877||15988|
01000US|United States|1|United States|52|Finance and insurance|521|Monetary authorities - central bank|1997|Reference year 1997|820|20 largest firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|521|Monetary authorities - central bank|1997|Reference year 1997|850|50 largest firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|5211|Monetary authorities - central bank|1997|Reference year 1997|003|All firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|5211|Monetary authorities - central bank|1997|Reference year 1997|804|4 largest firms|14||16056000||65.317256729||442040||109791||9754|
01000US|United States|1|United States|52|Finance and insurance|5211|Monetary authorities - central bank|1997|Reference year 1997|808|8 largest firms|31||21820000||88.765728813||680983||167877||15988|
01000US|United States|1|United States|52|Finance and insurance|5211|Monetary authorities - central bank|1997|Reference year 1997|820|20 largest firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|5211|Monetary authorities - central bank|1997|Reference year 1997|850|50 largest firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|52111|Monetary authorities - central bank|1997|Reference year 1997|003|All firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|52111|Monetary authorities - central bank|1997|Reference year 1997|804|4 largest firms|14||16056000||65.317256729||442040||109791||9754|
01000US|United States|1|United States|52|Finance and insurance|52111|Monetary authorities - central bank|1997|Reference year 1997|808|8 largest firms|31||21820000||88.765728813||680983||167877||15988|
01000US|United States|1|United States|52|Finance and insurance|52111|Monetary authorities - central bank|1997|Reference year 1997|820|20 largest firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|52111|Monetary authorities - central bank|1997|Reference year 1997|850|50 largest firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|521110|Monetary authorities - central bank|1997|Reference year 1997|003|All firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|521110|Monetary authorities - central bank|1997|Reference year 1997|804|4 largest firms|14||16056000||65.317256729||442040||109791||9754|
01000US|United States|1|United States|52|Finance and insurance|521110|Monetary authorities - central bank|1997|Reference year 1997|808|8 largest firms|31||21820000||88.765728813||680983||167877||15988|
01000US|United States|1|United States|52|Finance and insurance|521110|Monetary authorities - central bank|1997|Reference year 1997|820|20 largest firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|521110|Monetary authorities - central bank|1997|Reference year 1997|850|50 largest firms|42||24581559||100||903365||224085||21674|
01000US|United States|1|United States|52|Finance and insurance|522|Credit intermediation & related activities|1997|Reference year 1997|003|All firms|166882||808810933|r|100||98723241||25559360||2744910|
01000US|United States|1|United States|52|Finance and insurance|522|Credit intermediation & related activities|1997|Reference year 1997|804|4 largest firms|9060||102156154||12.630412106||11916555||3413420||282252|
01000US|United States|1|United States|52|Finance and insurance|522|Credit intermediation & related activities|1997|Reference year 1997|808|8 largest firms|13898||164455460||20.332991715||17213878||4919932||406592|
01000US|United States|1|United States|52|Finance and insurance|522|Credit intermediation & related activities|1997|Reference year 1997|820|20 largest firms|29618||270041272||33.387440869||29213275||8155515||737995|
01000US|United States|1|United States|52|Finance and insurance|522|Credit intermediation & related activities|1997|Reference year 1997|850|50 largest firms|41047||392589098||48.539044415||42066990||11647126||1057192|
01000US|United States|1|United States|52|Finance and insurance|5221|Depository credit intermediation|1997|Reference year 1997|003|All firms|102916||533133659||100||70229791||18522547||2017704|
01000US|United States|1|United States|52|Finance and insurance|5221|Depository credit intermediation|1997|Reference year 1997|804|4 largest firms|7710||74871220||14.043611529||11351376||3418106||253937|
01000US|United States|1|United States|52|Finance and insurance|5221|Depository credit intermediation|1997|Reference year 1997|808|8 largest firms|15231||114343058||21.447353036||17066856||4972206||418515|
01000US|United States|1|United States|52|Finance and insurance|5221|Depository credit intermediation|1997|Reference year 1997|820|20 largest firms|25365||189904297||35.620391584||25970315||7376394||661716|
01000US|United States|1|United States|52|Finance and insurance|5221|Depository credit intermediation|1997|Reference year 1997|850|50 largest firms|35837||272310801||51.077398023||36711065||10066151||932201|
01000US|United States|1|United States|52|Finance and insurance|52211|Commercial banking|1997|Reference year 1997|003|All firms|70860||421759126||100||57247077||15317025||1575399|
01000US|United States|1|United States|52|Finance and insurance|52211|Commercial banking|1997|Reference year 1997|804|4 largest firms|7590||73147215||17.343362714||11240617||3389682||251033|
01000US|United States|1|United States|52|Finance and insurance|52211|Commercial banking|1997|Reference year 1997|808|8 largest firms|14805||111210004||26.368132222||16741813||4890112||410140|
01000US|United States|1|United States|52|Finance and insurance|52211|Commercial banking|1997|Reference year 1997|820|20 largest firms|23615||179329887||42.519503656||25185474||7202591||635342|
01000US|United States|1|United States|52|Finance and insurance|52211|Commercial banking|1997|Reference year 1997|850|50 largest firms|32821||255952825||60.686967803||35058597||9631537||880202|
01000US|United States|1|United States|52|Finance and insurance|522110|Commercial banking|1997|Reference year 1997|003|All firms|70860||421759126||100||57247077||15317025||1575399|
01000US|United States|1|United States|52|Finance and insurance|522110|Commercial banking|1997|Reference year 1997|804|4 largest firms|7590||73147215||17.343362714||11240617||3389682||251033|
01000US|United States|1|United States|52|Finance and insurance|522110|Commercial banking|1997|Reference year 1997|808|8 largest firms|14805||111210004||26.368132222||16741813||4890112||410140|
01000US|United States|1|United States|52|Finance and insurance|522110|Commercial banking|1997|Reference year 1997|820|20 largest firms|23615||179329887||42.519503656||25185474||7202591||635342|
01000US|United States|1|United States|52|Finance and insurance|522110|Commercial banking|1997|Reference year 1997|850|50 largest firms|32821||255952825||60.686967803||35058597||9631537||880202|
01000US|United States|1|United States|52|Finance and insurance|5221101|National commercial banks (banking)|1997|Reference year 1997|003|All firms|36683||203570310||100||30764597||8062645||896952|
01000US|United States|1|United States|52|Finance and insurance|5221101|National commercial banks (banking)|1997|Reference year 1997|804|4 largest firms|11192||59731490||29.341945788||9298636||2588201||270278|
01000US|United States|1|United States|52|Finance and insurance|5221101|National commercial banks (banking)|1997|Reference year 1997|808|8 largest firms|14025||90857069||44.631787907||13836640||3805434||370535|
01000US|United States|1|United States|52|Finance and insurance|5221101|National commercial banks (banking)|1997|Reference year 1997|820|20 largest firms|20315||138557924||68.063915607||20294182||5488807||554777|
01000US|United States|1|United States|52|Finance and insurance|5221101|National commercial banks (banking)|1997|Reference year 1997|850|50 largest firms|26393||168702308||82.871764552||24986134||6644032||700816|
01000US|United States|1|United States|52|Finance and insurance|5221102|State commercial banks (banking)|1997|Reference year 1997|003|All firms|33672||159452168||100||23200208||6272962||648969|
