GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|72|Accommodation and foodservices|72|Accommodation & food services|1997|Reference year 1997|003|All firms|545068|r|350399194|r|100||97007396|r|22671697|r|9451226|r
01000US|United States|1|United States|72|Accommodation and foodservices|72|Accommodation & food services|1997|Reference year 1997|804|4 largest firms|15801||22903251||6.5363309597||6386026||1539187||542043|
01000US|United States|1|United States|72|Accommodation and foodservices|72|Accommodation & food services|1997|Reference year 1997|808|8 largest firms|20364||34221683||9.7664845085||9488232||2284555||785993|
01000US|United States|1|United States|72|Accommodation and foodservices|72|Accommodation & food services|1997|Reference year 1997|820|20 largest firms|28602||51777869||14.776823088||14260647||3466797||1195418|
01000US|United States|1|United States|72|Accommodation and foodservices|72|Accommodation & food services|1997|Reference year 1997|850|50 largest firms|41909||73898408||21.089776822||20533308||4989470||1723697|
01000US|United States|1|United States|72|Accommodation and foodservices|721|Accommodation|1997|Reference year 1997|003|All firms|58162|r|98457431|r|100||26673852|r|6285109|r|1696659|r
01000US|United States|1|United States|72|Accommodation and foodservices|721|Accommodation|1997|Reference year 1997|804|4 largest firms|798||15468967||15.711325029||4143085||1002151||210821|
01000US|United States|1|United States|72|Accommodation and foodservices|721|Accommodation|1997|Reference year 1997|808|8 largest firms|833||21325772||21.65989076||5618770||1372780||272901|
01000US|United States|1|United States|72|Accommodation and foodservices|721|Accommodation|1997|Reference year 1997|820|20 largest firms|2080||30991675||31.477233039||8325865||2036084||413228|
01000US|United States|1|United States|72|Accommodation and foodservices|721|Accommodation|1997|Reference year 1997|850|50 largest firms|3562||40664130||41.30122997||10825585||2643534||566149|
01000US|United States|1|United States|72|Accommodation and foodservices|7211|Traveler accommodation|1997|Reference year 1997|003|All firms|47079||94965838||100||25851424||6140495||1645666|
01000US|United States|1|United States|72|Accommodation and foodservices|7211|Traveler accommodation|1997|Reference year 1997|804|4 largest firms|797||15467808||16.287760236||4142701||1002075||210802|
