GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|TAXIND|TAXIND_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|120||7146851||5.6||1951619||440371||26111|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|296||13135640||10.3||3877723||896558||54113|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|2532||1496807||100||796671||185233||23316|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|79||223606||14.9||114514||27486||2750|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|128||296907||19.8||149148||35003||3655|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|192||406949||27.2||202051||47841||5122|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|369||582176||38.9||304362||72320||7861|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|003|All firms|165757||122616890||100||47409587||10007220||956074|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|36||2279666||1.9||604692||139928||8125|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|57||3665740||3||937994||210135||12910|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|120||7146851||5.8||1951619||440371||26111|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|296||13135640||10.7||3877723||896558||54113|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|2532||1496807||100||796671||185233||23316|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|79||223606||14.9||114514||27486||2750|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|128||296907||19.8||149148||35003||3655|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|192||406949||27.2||202051||47841||5122|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|369||582176||38.9||304362||72320||7861|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|003|All firms|165757||122616890||100||47409587||10007220||956074|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|36||2279666||1.9||604692||139928||8125|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|57||3665740||3||937994||210135||12910|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|120||7146851||5.8||1951619||440371||26111|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541110|Offices of lawyers|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|296||13135640||10.7||3877723||896558||54113|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411101|Offices of lawyers (except legal aid societies)|T|Taxable establishments|1997|Reference year 1997|003|All firms|165757||122616890||100||47409587||10007220||956074|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411101|Offices of lawyers (except legal aid societies)|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|36||2279666||1.9||604692||139928||8125|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411101|Offices of lawyers (except legal aid societies)|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|57||3665740||3||937994||210135||12910|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411101|Offices of lawyers (except legal aid societies)|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|120||7146851||5.8||1951619||440371||26111|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411101|Offices of lawyers (except legal aid societies)|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|296||13135640||10.7||3877723||896558||54113|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411102|Legal aid societies & similar legal services|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|2532||1496807||100||796671||185233||23316|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411102|Legal aid societies & similar legal services|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|79||223606||14.9||114514||27486||2750|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411102|Legal aid societies & similar legal services|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|128||296907||19.8||149148||35003||3655|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411102|Legal aid societies & similar legal services|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|192||406949||27.2||202051||47841||5122|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411102|Legal aid societies & similar legal services|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|369||582176||38.9||304362||72320||7861|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54119|Other legal services|T|Taxable establishments|1997|Reference year 1997|003|All firms|7959||4435516||100||1650430||367366||56018|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54119|Other legal services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|273||430793||9.7||142353||32557||3975|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54119|Other legal services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|388||615023||13.9||191462||45616||6030|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54119|Other legal services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|494||906925||20.4||255568||60684||8008|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54119|Other legal services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|677||1281570||28.9||410508||96058||12156|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541191|Title abstract & settlement offices|T|Taxable establishments|1997|Reference year 1997|003|All firms|6391||3489167||100||1386275||307378||46711|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541191|Title abstract & settlement offices|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|254||349485||10||135573||31702||3825|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541191|Title abstract & settlement offices|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|359||478676||13.7||172281||41041||5365|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541191|Title abstract & settlement offices|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|510||704153||20.2||256605||61379||7762|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541191|Title abstract & settlement offices|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|695||1016279||29.1||387743||90624||11268|
