YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,EXMT_INTRST_IND,EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,DIV_FRN_IND,DIV_FRN,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,POSS_TX_CR_IND,POSS_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,CASH_PRPTY_DIST_IND,CASH_PRPTY_DIST,STCK_DIST_IND,STCK_DIST
2006,1,1,3,0,3889550,0,394394777,0,92101700,0,41512717,0,404334,0,42561337,0,315268,0,301064,0,20234884,0,25593182,0,2850019,0,19739054,0,396712966,0,285353466,0,1036695,0,676414,0,13876256,0,31364614,0,14702742,0,7331977,0,394394777,0,40418564,0,40902047,0,46369569,0,119864141,0,105000377,0,12837449,0,29002631,0,46166359,0,89959042,0,1439353,0,-94806828,0,13755294,0,1924824782,0,1889669299,0,1506198,0,132409,0,854757,0,122232,0,153968,0,2507365,0,3109539,0,207529,0,13200,0,26548286,0,1841355782,0,761904735,0,189021222,0,282674569,0,17716539,0,2658461,0,85176760,0,54142193,0,13131887,0,278714,0,2161498,0,24661283,0,101491,0,20689320,0,15402660,0,20089412,0,37219,0,557108,0,350950712,0,83469000,0,4585,0,83341177,0,125280177,0,41939000,0,83284299,0,6418680,0,6209980,0,149888,0,9519195,0,1822271,0,1852716,0,10321,0,4678,0,0,0,29074,0,1497,0,1787021,0,2969606,1,137530
2006,1,1,2,0,979169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535489918,0,391806872,0,80399830,0,608811,0,2348420,0,981318,0,1462177,0,26600370,0,4197614,0,2285812,0,201424,0,24597269,0,506253170,0,248033017,0,13651472,0,43302145,0,3065761,0,1804075,0,10642635,0,8769485,0,77266041,0,199961,0,1896600,0,7058648,0,246717,0,3240431,0,1395336,0,3824440,0,57636,0,3821980,0,77976788,0,29236749,0,135288,0,28763225,0,60438183,0,31674959,0,5868000,0,29844601,0,4605234,0,502648,0,17500365,0,5653680,0,6494661,0,112131,0,130939,0,0,0,69491,0,49419,0,5399348,0,22656896,1,700887
2006,1,1,1,0,5840799,0,73080647385,0,2901709877,0,13610860826,0,166537448,0,1612997968,0,1713665371,0,1518183368,0,5608517505,0,519913546,0,5231678721,0,27903223897,0,8817095391,0,4241564417,0,382245345,0,132586231,0,456534251,0,3500596850,0,574057109,0,4418169674,0,73080647385,0,7778731433,0,4709039628,0,17598734383,0,688480126,0,9398633789,0,6911004387,0,25996023640,0,2512611862,0,19142047770,0,269600823,0,5494105997,0,1422342812,0,27401873714,0,23310309765,0,2242464157,0,64731038,0,137059289,0,161655558,0,54913226,0,180659860,0,88854621,0,32501875,0,72419945,0,1056304380,0,25501557823,0,14799598760,0,473551505,0,2457071143,0,160139517,0,105859875,0,462011788,0,496638490,0,1787103982,0,14786047,0,156554689,0,563963516,0,15180670,0,277006387,0,151419973,0,315404442,0,11109676,0,29547416,0,3224609946,0,1900315891,0,97789598,0,1933374450,0,2239614334,0,306239884,0,295929473,0,593781547,0,162776048,0,34052437,0,1291430767,0,453082065,0,450167880,0,3681962,0,78183457,0,580694,0,15187647,0,5877378,0,353083862,0,958568391,0,6350714
2006,1,11,13,2,,2,,2,,2,,2,,2,,2,,0,0,2,,0,0,0,0,2,,2,,2,,2,,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,0,0,0,0,0,0,0,0,2,,2,,2,,0,0,2,,0,0,0,0,0,0,2,,0,0,0,0
2006,1,11,12,0,16,0,25140418,0,4381798,0,1645444,0,24652,0,1567901,0,8857,0,0,0,571593,0,0,0,0,0,5690258,0,4295724,0,1913571,0,3964633,0,316725,0,1805444,0,1546574,0,72683,0,1989822,0,25140418,0,1859057,0,553760,0,1610455,0,707856,0,10548057,0,4722050,0,5139184,0,71184,0,4317010,0,3285,0,1211443,0,463738,0,13234902,0,12341144,0,131805,0,13854,0,51017,0,31969,0,-870,0,201322,0,20602,0,933,0,189042,0,254085,0,12896272,0,9988026,0,71411,0,707787,0,88950,0,13288,0,120899,0,125499,0,483821,0,3904,0,52101,0,252328,0,8455,0,73310,0,44654,0,220378,0,6211,0,1352,0,633897,0,338630,0,88777,0,413553,0,634395,0,220841,0,11509,0,166587,0,645,0,165942,0,479779,0,167923,0,167923,0,0,0,4259,0,0,0,1865,0,145,0,161653,0,98907,0,0
2006,1,11,11,0,19,0,5797273,0,175342,0,617220,0,3074,0,594495,0,0,0,0,0,615491,0,206093,0,1242,0,1107995,0,2591541,0,1207042,0,187753,0,69914,0,699304,0,51121,0,16772,0,246478,0,5797273,0,326195,0,404322,0,279196,0,19067,0,1135220,0,531739,0,3101534,0,236474,0,1489245,0,0,0,1417249,0,41433,0,4618039,0,4288015,0,20250,0,7977,0,15882,0,15011,0,5296,0,41905,0,23424,0,4408,0,0,0,195871,0,4541922,0,3542269,0,27314,0,121229,0,27019,0,936,0,52605,0,70857,0,77812,0,7683,0,49138,0,176567,0,38042,0,10253,0,19741,0,39768,0,3602,0,10661,0,266425,0,76116,0,0,0,68139,0,203477,0,135337,0,-28155,0,18098,0,14625,0,3473,0,144750,0,50851,0,50472,0,379,0,0,0,0,0,368,0,0,0,50484,0,104686,0,0
2006,1,11,10,0,57,0,9063311,0,502303,0,1239747,0,15743,0,1115520,0,429,0,144904,0,503133,0,38265,0,29759,0,1394403,0,5551674,0,2963508,0,124695,0,11030,0,731478,0,324205,0,34772,0,387850,0,9063311,0,736257,0,725504,0,623992,0,230490,0,2062783,0,439293,0,4244992,0,660816,0,1574443,0,13469,0,2239257,0,242993,0,10509177,0,9974843,0,41836,0,12107,0,46998,0,22759,0,771,0,87149,0,20661,0,4878,0,38271,0,258906,0,10039488,0,6723784,0,83488,0,570539,0,72958,0,6570,0,100221,0,180558,0,202241,0,5617,0,31337,0,322895,0,11858,0,26629,0,15210,0,86208,0,4833,0,28344,0,1566197,0,469689,0,9449,0,467030,0,627135,0,160105,0,218423,0,100397,0,96683,0,3714,0,261663,0,92292,0,91091,0,1201,0,1313,0,0,0,1381,0,673,0,88926,0,110852,0,29
2006,1,11,9,0,106,0,7375257,0,491392,0,1157529,0,9587,0,1134228,0,33125,0,0,0,400439,0,77542,0,60046,0,1045822,0,4254866,0,2314576,0,109563,0,19647,0,734462,0,124375,0,22256,0,117936,0,7375257,0,697124,0,1143187,0,323055,0,287536,0,1545566,0,422056,0,2956734,0,209159,0,2041204,0,0,0,821021,0,114650,0,8127362,0,7822874,0,30567,0,1080,0,34786,0,6042,0,717,0,11887,0,19839,0,1450,0,448,0,197671,0,8025071,0,5925964,0,79539,0,477461,0,65122,0,15459,0,115676,0,113370,0,166408,0,2461,0,25961,0,232008,0,223,0,25424,0,22236,0,55425,0,2035,0,2544,0,697756,0,102292,0,111,0,101323,0,299395,0,198072,0,52137,0,23311,0,22287,0,1024,0,104357,0,36127,0,35597,0,530,0,10,0,0,0,372,0,1720,0,34025,0,6694,0,0
2006,1,11,8,0,181,0,6234166,0,540782,0,807966,0,14387,0,1021298,1,686,1,25701,0,289490,0,104846,1,44335,0,842376,0,3467839,0,1957813,1,219976,1,47559,0,720859,0,63209,0,28156,0,132717,0,6234166,0,434220,0,912358,0,401335,0,399585,0,1357519,0,83487,0,2645661,0,263714,0,607825,0,0,0,1857254,0,83132,0,5088954,0,4753680,0,21011,1,2431,0,34127,1,522,1,61,0,56138,0,32517,1,2151,1,178,0,186138,0,4938462,0,3340539,0,53621,0,235705,0,41582,0,4680,0,106042,0,95646,0,137896,0,1110,0,18598,0,188863,1,438,0,11964,0,9583,0,35628,0,784,1,401,0,655381,0,150492,0,0,0,148061,0,298886,0,150825,0,49323,0,29272,1,27766,1,1506,0,104397,0,36158,0,35629,1,528,1,1422,0,0,1,524,1,1461,0,32751,1,30068,0,0
2006,1,11,7,0,793,0,12199546,0,1027881,0,1261212,0,7725,0,2286887,1,59468,1,139074,0,600642,0,333070,1,131499,0,1229278,0,6961581,0,4123107,0,162144,1,20568,0,1541805,0,175779,0,43132,0,483757,0,12199546,0,844833,0,2039294,0,847549,0,1039819,0,3041465,0,421989,0,3964596,0,576593,0,2424166,1,101774,0,1330449,0,468386,0,13832174,0,13276906,0,37269,0,9979,0,23818,1,12404,1,1510,0,102119,0,55598,0,9556,1,26,0,302989,0,13579841,0,9037875,0,204746,0,839719,0,164677,0,8040,0,327311,0,218504,0,305348,0,3611,0,23624,0,424529,0,13700,0,47740,0,30610,0,107937,0,2451,0,15377,0,1804043,0,252333,0,0,0,242354,0,645563,0,403209,0,78606,0,65301,0,58611,0,6690,0,211957,0,72648,0,71722,1,926,1,216,0,0,1,679,1,191,0,71562,0,55310,0,0
