GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56|Administrative & support & waste management & remediation serv|1997|Reference year 1997|003|All firms|276393||295936350||100||137336983||31278111||7347366|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56|Administrative & support & waste management & remediation serv|1997|Reference year 1997|804|4 largest firms|3178||16796596||5.6757461528||6003136||1472250||272067|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56|Administrative & support & waste management & remediation serv|1997|Reference year 1997|808|8 largest firms|5684||25659553||8.6706323843||9048231||2195773||418785|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56|Administrative & support & waste management & remediation serv|1997|Reference year 1997|820|20 largest firms|8873||42026910||14.201334172||17286066||4004851||839024|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56|Administrative & support & waste management & remediation serv|1997|Reference year 1997|850|50 largest firms|14874||65393453||22.097134401||29262903||6811435||1382574|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|561|Administrative & support services|1997|Reference year 1997|003|All firms|260025||256590745||100||128438075||29173133||7066658|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|561|Administrative & support services|1997|Reference year 1997|804|4 largest firms|4313||10167410||3.962500674||5963226||1405301||324868|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|561|Administrative & support services|1997|Reference year 1997|808|8 largest firms|6031||16539631||6.4459187723||8117519||1942943||446329|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|561|Administrative & support services|1997|Reference year 1997|820|20 largest firms|8077||31303180||12.199652797||16928516||3776436||840123|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|561|Administrative & support services|1997|Reference year 1997|850|50 largest firms|14001||51385968||20.026430805||27664774||6381943||1391871|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|5611|Office administrative services|1997|Reference year 1997|003|All firms|24537||28054350||100||11971006||2718843||338386|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|5611|Office administrative services|1997|Reference year 1997|804|4 largest firms|905||1306892||4.658429085||304966||78808||7639|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|5611|Office administrative services|1997|Reference year 1997|808|8 largest firms|939||1740749||6.2049165281||467584||120754||11842|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|5611|Office administrative services|1997|Reference year 1997|820|20 largest firms|987||2720309||9.6965675555||858551||210873||18529|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|5611|Office administrative services|1997|Reference year 1997|850|50 largest firms|1360||4201645||14.976803954||1493761||359932||36054|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56111|Office administrative services|1997|Reference year 1997|003|All firms|24537||28054350||100||11971006||2718843||338386|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56111|Office administrative services|1997|Reference year 1997|804|4 largest firms|905||1306892||4.658429085||304966||78808||7639|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56111|Office administrative services|1997|Reference year 1997|808|8 largest firms|939||1740749||6.2049165281||467584||120754||11842|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56111|Office administrative services|1997|Reference year 1997|820|20 largest firms|987||2720309||9.6965675555||858551||210873||18529|
01000US|United States|1|United States|56|Administrative, support, waste management, and remediation services|56111|Office administrative services|1997|Reference year 1997|850|50 largest firms|1360||4201645||14.976803954||1493761||359932||36054|
