GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|44|Retail trade|44-45|Retail trade|1997|Reference year 1997|003|All firms|1118447|r|2460886012|r|100||237195503|r|55386162|r|13991103|r
01000US|United States|1|United States|44|Retail trade|44-45|Retail trade|1997|Reference year 1997|804|4 largest firms|10969||193717460||7.8718583086||17434555||4116112||1459968|
01000US|United States|1|United States|44|Retail trade|44-45|Retail trade|1997|Reference year 1997|808|8 largest firms|17231||288344881||11.717116502||27240573||6351366||2085568|
01000US|United States|1|United States|44|Retail trade|44-45|Retail trade|1997|Reference year 1997|820|20 largest firms|35245||454546989||18.470867272||43816391||10272837||3177449|
01000US|United States|1|United States|44|Retail trade|44-45|Retail trade|1997|Reference year 1997|850|50 largest firms|70612||631285683||25.652780337||58778641||13888187||4213856|
01000US|United States|1|United States|44|Retail trade|441|Motor vehicle & parts dealers|1997|Reference year 1997|003|All firms|122633||645367776||100||50238931||11531623||1718963|
01000US|United States|1|United States|44|Retail trade|441|Motor vehicle & parts dealers|1997|Reference year 1997|804|4 largest firms|2609||10411249||1.6132272771||1165598||262415||50603|
01000US|United States|1|United States|44|Retail trade|441|Motor vehicle & parts dealers|1997|Reference year 1997|808|8 largest firms|6205||16719813||2.5907418408||2126261||497148||91045|
01000US|United States|1|United States|44|Retail trade|441|Motor vehicle & parts dealers|1997|Reference year 1997|820|20 largest firms|10409||26929421||4.1727247628||3193887||758803||137854|
01000US|United States|1|United States|44|Retail trade|441|Motor vehicle & parts dealers|1997|Reference year 1997|850|50 largest firms|11431||43132396||6.6833823448||4260535||1019366||168765|
01000US|United States|1|United States|44|Retail trade|4411|Automobile dealers|1997|Reference year 1997|003|All firms|49237||553652292||100||37400147||8568404||1138995|
01000US|United States|1|United States|44|Retail trade|4411|Automobile dealers|1997|Reference year 1997|804|4 largest firms|167||8503069||1.5358139256||570098||128967||14429|
01000US|United States|1|United States|44|Retail trade|4411|Automobile dealers|1997|Reference year 1997|808|8 largest firms|232||11842019||2.1388909919||774570||171956||18934|
01000US|United States|1|United States|44|Retail trade|4411|Automobile dealers|1997|Reference year 1997|820|20 largest firms|347||19714394||3.5607897384||1206250||276980||30199|
01000US|United States|1|United States|44|Retail trade|4411|Automobile dealers|1997|Reference year 1997|850|50 largest firms|580||32390854||5.8503964434||1997613||464034||51944|
01000US|United States|1|United States|44|Retail trade|44111|New car dealers|1997|Reference year 1997|003|All firms|25897||518971824||100||35202751||8072223||1046243|
01000US|United States|1|United States|44|Retail trade|44111|New car dealers|1997|Reference year 1997|804|4 largest firms|142||7916307||1.5253828115||496375||119643||13487|
01000US|United States|1|United States|44|Retail trade|44111|New car dealers|1997|Reference year 1997|808|8 largest firms|202||11091041||2.1371181415||688475||165818||18643|
01000US|United States|1|United States|44|Retail trade|44111|New car dealers|1997|Reference year 1997|820|20 largest firms|313||18800222||3.6225901158||1113685||269651||29494|
01000US|United States|1|United States|44|Retail trade|44111|New car dealers|1997|Reference year 1997|850|50 largest firms|532||31168911||6.0058965745||1884831||451530||50657|
01000US|United States|1|United States|44|Retail trade|441110|New car dealers|1997|Reference year 1997|003|All firms|25897||518971824||100||35202751||8072223||1046243|
01000US|United States|1|United States|44|Retail trade|441110|New car dealers|1997|Reference year 1997|804|4 largest firms|142||7916307||1.5253828115||496375||119643||13487|
01000US|United States|1|United States|44|Retail trade|441110|New car dealers|1997|Reference year 1997|808|8 largest firms|202||11091041||2.1371181415||688475||165818||18643|
01000US|United States|1|United States|44|Retail trade|441110|New car dealers|1997|Reference year 1997|820|20 largest firms|313||18800222||3.6225901158||1113685||269651||29494|
01000US|United States|1|United States|44|Retail trade|441110|New car dealers|1997|Reference year 1997|850|50 largest firms|532||31168911||6.0058965745||1884831||451530||50657|
01000US|United States|1|United States|44|Retail trade|44112|Used car dealers|1997|Reference year 1997|003|All firms|23340||34680468||100||2197396||496181||92752|
01000US|United States|1|United States|44|Retail trade|44112|Used car dealers|1997|Reference year 1997|804|4 largest firms|62||1616454||4.6609924641||123618||17378||1829|
01000US|United States|1|United States|44|Retail trade|44112|Used car dealers|1997|Reference year 1997|808|8 largest firms|76||2025525||5.8405353699||141352||21798||2375|
01000US|United States|1|United States|44|Retail trade|44112|Used car dealers|1997|Reference year 1997|820|20 largest firms|105||2724519||7.856061804||181914||31514||3357|
01000US|United States|1|United States|44|Retail trade|44112|Used car dealers|1997|Reference year 1997|850|50 largest firms|185||3786861||10.919290363||247663||46432||5328|
01000US|United States|1|United States|44|Retail trade|441120|Used car dealers|1997|Reference year 1997|003|All firms|23340||34680468||100||2197396||496181||92752|
01000US|United States|1|United States|44|Retail trade|441120|Used car dealers|1997|Reference year 1997|804|4 largest firms|62||1616454||4.6609924641||123618||17378||1829|
01000US|United States|1|United States|44|Retail trade|441120|Used car dealers|1997|Reference year 1997|808|8 largest firms|76||2025525||5.8405353699||141352||21798||2375|
01000US|United States|1|United States|44|Retail trade|441120|Used car dealers|1997|Reference year 1997|820|20 largest firms|105||2724519||7.856061804||181914||31514||3357|
01000US|United States|1|United States|44|Retail trade|441120|Used car dealers|1997|Reference year 1997|850|50 largest firms|185||3786861||10.919290363||247663||46432||5328|
01000US|United States|1|United States|44|Retail trade|4412|Other motor vehicle dealers|1997|Reference year 1997|003|All firms|13589||28890506||100||2569916||546742||102768|
01000US|United States|1|United States|44|Retail trade|4412|Other motor vehicle dealers|1997|Reference year 1997|804|4 largest firms|211||1019734||3.5296508825||66382||15551||3006|
01000US|United States|1|United States|44|Retail trade|4412|Other motor vehicle dealers|1997|Reference year 1997|808|8 largest firms|225||1504007||5.2058866674||90959||21396||3689|
01000US|United States|1|United States|44|Retail trade|4412|Other motor vehicle dealers|1997|Reference year 1997|820|20 largest firms|333||2385640||8.2575223847||164443||37965||6414|
