DE_NAME|DISP_LABEL|DATA_TYPE|MAX_LEN|DECIMAL_PLACES|DE_TYPE|IB_TYPE|FLAG_DE_NAME|MEANING_TABLE_NAME
GEOTYPE|Type of geography flag|CHARACTER|2|0|G|||META0500
GEOTYPE_MEANING|Meaning of Type of geography flag|CHARACTER|4000|0||||
ST|FIPS state code|CHARACTER|2|0|G|||
GEO_ID|Geographic identifier code|CHARACTER|20|0|G|||META0422
GEOGRAPHY|Geographic Area|CHARACTER|1000|0||||
PROGRAM|Economic program identifier|CHARACTER|2|0|O|||META0500
PROGRAM_MEANING|Meaning of Economic program identifier|CHARACTER|4000|0||||
SECTOR|NAICS economic sector code|CHARACTER|2|0|O|||META0500
SECTOR_MEANING|Meaning of NAICS economic sector code|CHARACTER|4000|0||||
NAICS2007|2007 NAICS code|CHARACTER|8|0|I|NAICS2007||META1422
NAICS2007_MEANING|Meaning of 2007 NAICS code|CHARACTER|255|0||||
CONCENFI|Firm concentration code|CHARACTER|3|0|X|||META0500
CONCENFI_MEANING|Meaning of Firm concentration code|CHARACTER|4000|0||||
FOOTID|Footnote identifier|CHARACTER|3|0|O|||META0500
FOOTID_MEANING|Meaning of Footnote identifier|CHARACTER|4000|0||||
YEAR|Year|CHARACTER|4|0|R|||META0500
YEAR_MEANING|Meaning of Year|CHARACTER|4000|0||||
COMPANY|Companies|NUMBER|6|0|D||COMPANY_F|
COMPANY_F|Flag for number of companies|CHARACTER|3|0|F|||META0500
RCPTOT|Total value of shipments ($1,000)|NUMBER|11|0|D||RCPTOT_F|
RCPTOT_F|Flag for value of sales, shipments, receipts, revenue, or business done|CHARACTER|3|0|F|||META0500
CCORCPPCT|Percent of total value of shipments (%)|NUMBER|5|1|D||CCORCPPCT_F|
CCORCPPCT_F|Flag for percent of total value of shipments|CHARACTER|3|0|F|||META0500
VSHERFI|Herfindahl-Hirschman index|NUMBER|4|1|D||VSHERFI_F|
VSHERFI_F|Flag for pct of value of shipments by the Herfindahl-Hirschman index|CHARACTER|3|0|F|||META0500
