                  Nonbank Foreign Affiliates of Nonbank U.S. Parents--Revised 1990 Estimates


                                                   Table II.A 2.--Selected Data for Foreign Affiliates and U.S Parents in All Industries--Continued



                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                    By industry of affiliate--Affiliate data              By industry of U.S. parent
                                                                               ------------------------------------------------------ ----------------------------------
                                                                               Number        Millions of dollars           Number of  U.S. parent data   Affiliate data
                                                                                 of   -----------------------------------  employees  ----------------- ----------------
                                                                               affil-   Total    Sales     Net   Employee (thousands) Number    Total   Number   Total
                                                                               iates   assets            income   comp-               of U.S.  assets     of    assets
                                                                                                                 ensation             parents (millions affil- (millions
                                                                                                                                                 of     iates     of
                                                                                                                                              dollars)         dollars)
                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                (1)      (2)       (3)      (4)     (5)        (6)       (7)      (8)     (9)     (10)
                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                      Agricultural services ..................................     1         8         9     (*)      (*)         (*)       0         0      0         0
                      Forestry ...............................................     3       (D)       (D)     (D)      (D)         (D)       0         0      0         0
                      Fishing, hunting, and trapping .........................     9       (D)       (D)     (D)      (D)         (D)       0         0      0         0
                    Mining ...................................................   135    19,705     9,812     764    1,780        93.9      20     9,842     67     2,322
                      Metal mining ...........................................    91    15,074     7,857     721    1,436        77.2      12     7,539     55     1,994
                        Iron ores ............................................     7       (D)       771      86      200         5.6       2       735      3        37
                        Copper, lead, zinc, gold, and silver ores ............    52    10,917     5,484     507    1,007        53.0       8     6,721     49     1,912
                        Other metallic ores ..................................    23     2,736     1,523     126      194        17.5       1       (D)      2       (D)
                        Metal mining services ................................     9       (D)        80       1       35         1.1       1       (D)      1       (D)
                      Nonmetallic minerals ...................................    44     4,632     1,955      44      344        16.7       8     2,303     12       329
                        Coal .................................................    15     3,414     1,079     -14      160         7.3       2       640      3        33
                        Coal mining services .................................     1       (D)       (D)     (D)        2         (*)       0         0      0         0
                        Nonmetallic minerals, except fuels ...................    27     1,204       (D)     (D)      182         9.3       5     1,658      8       283
                        Nonmetallic minerals services, except fuels ..........     1       (D)         1     (*)      (*)         (*)       1         5      1        13
                    Construction .............................................   128     4,681     7,817     319    1,754        52.8      28    17,673    295     9,682
                    Transportation ...........................................   257     8,925       (D)     (D)    1,564        60.9      48   123,412    222     5,431
                      Railroads ..............................................     8        97        57       8       19          .5       6    53,441     22       690
                      Water transportation ...................................   109     5,864     2,935     467      363        18.1       9     3,214     48       993
                      Transportation by air ..................................    21       (D)       (D)     (D)       69         2.7      10    42,176     41       873
                      Pipelines, except petroleum and natural gas ............     1       (D)       (D)     (D)        2          .1       0         0      0         0
                      Passenger transportation arrangement ...................     5        77       544       7       31         1.3       5     1,280     13       (D)
                      Transportation and related services, nec ...............   113     2,524     3,156     -14    1,081        38.1      18    23,301     98       (D)
