GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|003|All firms|1009||48324008||100||5048597||1329419||93765|
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|804|4 largest firms|275||11055114||22.9||988008||254574||18746|
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|808|8 largest firms|339||17499352||36.2||1938049||508921||34060|
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|820|20 largest firms|469||27687828||57.3||2771438||744083||49871|
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|850|50 largest firms|705||40231677||83.3||4151658||1110367||75612|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|003|All firms|834||37041869||100||3829528||1008378||71407|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|804|4 largest firms|256||10690009||28.9||1171312||302141||21113|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|808|8 largest firms|332||15586100||42.1||1637853||433450||29062|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|820|20 largest firms|429||23689288||64||2326724||631261||41812|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|850|50 largest firms|629||33303948||89.9||3366853||899109||62587|
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|003|All firms|174||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|804|4 largest firms|61||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|808|8 largest firms|86||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|820|20 largest firms|125||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|850|50 largest firms|174||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|003|All firms|67||13966616||100||2201922||593607||34381|
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|804|4 largest firms|13||5933709||42.5||778886||205278||10974|
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|808|8 largest firms|26||9673776||69.3||1176085||320294||18420|
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|820|20 largest firms|50||13672632||97.9||1923324||520824||30167|
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|850|50 largest firms|67||13966616||100||2201922||593607||34381|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|003|All firms|56||9808861||100||1673481||453070||26508|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|804|4 largest firms|13||5228256||53.3||679427||178306||10090|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|808|8 largest firms|27||8111969||82.7||1026483||284751||16903|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|820|20 largest firms|50||9789263||99.8||1671009||452423||26461|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|850|50 largest firms|56||9808861||100||1673481||453070||26508|
01000US|United States|1|United States|22|Utilities|2211132|Electric & other services combined (nuclear power generation)|1997|Reference year 1997|003|All firms|11||4157755||100||528441||140537||7873|
01000US|United States|1|United States|22|Utilities|2211132|Electric & other services combined (nuclear power generation)|1997|Reference year 1997|804|4 largest firms|7||3595667||86.5||432396||113835||6292|
01000US|United States|1|United States|22|Utilities|2211132|Electric & other services combined (nuclear power generation)|1997|Reference year 1997|808|8 largest firms|11||4157755||100||528441||140537||7873|
01000US|United States|1|United States|22|Utilities|2211132|Electric & other services combined (nuclear power generation)|1997|Reference year 1997|820|20 largest firms|11||4157755||100||528441||140537||7873|
01000US|United States|1|United States|22|Utilities|2211132|Electric & other services combined (nuclear power generation)|1997|Reference year 1997|850|50 largest firms|11||4157755||100||528441||140537||7873|
01000US|United States|1|United States|22|Utilities|221119|Other electric power generation|1997|Reference year 1997|003|All firms|316||8010791||100||724712||190736||13160|
01000US|United States|1|United States|22|Utilities|221119|Other electric power generation|1997|Reference year 1997|804|4 largest firms|14||3677465||45.9||304122||78894||5033|
01000US|United States|1|United States|22|Utilities|221119|Other electric power generation|1997|Reference year 1997|808|8 largest firms|20||4729427||59||396658||110009||6861|
01000US|United States|1|United States|22|Utilities|221119|Other electric power generation|1997|Reference year 1997|820|20 largest firms|77||6124179||76.4||518572||139448||9001|
01000US|United States|1|United States|22|Utilities|221119|Other electric power generation|1997|Reference year 1997|850|50 largest firms|136||7374923||92.1||625140||166171||10952|
01000US|United States|1|United States|22|Utilities|2211191|Electric services (other electric power generation)|1997|Reference year 1997|003|All firms|268||6864322||100||612726||154266||10990|
01000US|United States|1|United States|22|Utilities|2211191|Electric services (other electric power generation)|1997|Reference year 1997|804|4 largest firms|14||3677465||53.6||304122||78894||5033|
01000US|United States|1|United States|22|Utilities|2211191|Electric services (other electric power generation)|1997|Reference year 1997|808|8 largest firms|33||4477017||65.2||354663||90459||6133|
01000US|United States|1|United States|22|Utilities|2211191|Electric services (other electric power generation)|1997|Reference year 1997|820|20 largest firms|76||5530259||80.6||464363||117122||7809|
01000US|United States|1|United States|22|Utilities|2211191|Electric services (other electric power generation)|1997|Reference year 1997|850|50 largest firms|135||6511386||94.9||551621||139352||9536|
01000US|United States|1|United States|22|Utilities|2211192|Electric & other serv combined (other electric power generation)|1997|Reference year 1997|003|All firms|44||1139389||100||110468||36161||2136|
01000US|United States|1|United States|22|Utilities|2211192|Electric & other serv combined (other electric power generation)|1997|Reference year 1997|804|4 largest firms|4||795086||69.8||76470||27485||1452|
01000US|United States|1|United States|22|Utilities|2211192|Electric & other serv combined (other electric power generation)|1997|Reference year 1997|808|8 largest firms|11||960393||84.3||89475||30637||1736|
01000US|United States|1|United States|22|Utilities|2211192|Electric & other serv combined (other electric power generation)|1997|Reference year 1997|820|20 largest firms|35||1128349||99||109037||35806||2090|
01000US|United States|1|United States|22|Utilities|2211192|Electric & other serv combined (other electric power generation)|1997|Reference year 1997|850|50 largest firms|44||1139389||100||110468||36161||2136|
01000US|United States|1|United States|22|Utilities|22112|Electric power transmission, control, & distribution|1997|Reference year 1997|003|All firms|6190||195719916||100||22070406||5861147||415839|
01000US|United States|1|United States|22|Utilities|22112|Electric power transmission, control, & distribution|1997|Reference year 1997|804|4 largest firms|813||34566363||17.7||4566704||1286980||74304|
01000US|United States|1|United States|22|Utilities|22112|Electric power transmission, control, & distribution|1997|Reference year 1997|808|8 largest firms|1206||53429421||27.3||6417403||1772022||105838|
01000US|United States|1|United States|22|Utilities|22112|Electric power transmission, control, & distribution|1997|Reference year 1997|820|20 largest firms|2286||97614463||49.9||11186885||3018893||191662|
01000US|United States|1|United States|22|Utilities|22112|Electric power transmission, control, & distribution|1997|Reference year 1997|850|50 largest firms|3266||150617775||77||16907415||4566015||293831|
01000US|United States|1|United States|22|Utilities|221121|Electric bulk power transmission & control|1997|Reference year 1997|003|All firms|120||955984||100||115706||31087||2418|
01000US|United States|1|United States|22|Utilities|221121|Electric bulk power transmission & control|1997|Reference year 1997|804|4 largest firms|20||514249||53.8||47556||12643||992|
01000US|United States|1|United States|22|Utilities|221121|Electric bulk power transmission & control|1997|Reference year 1997|808|8 largest firms|30||706841||73.9||61732||15960||1292|
01000US|United States|1|United States|22|Utilities|221121|Electric bulk power transmission & control|1997|Reference year 1997|820|20 largest firms|46||905933||94.8||90506||24881||1825|
01000US|United States|1|United States|22|Utilities|221121|Electric bulk power transmission & control|1997|Reference year 1997|850|50 largest firms|120||955984||100||115706||31087||2418|
01000US|United States|1|United States|22|Utilities|2211211|Electric services (electric power transmission & control)|1997|Reference year 1997|003|All firms|99||523508||100||66484||18466||1639|
01000US|United States|1|United States|22|Utilities|2211211|Electric services (electric power transmission & control)|1997|Reference year 1997|804|4 largest firms|18||287798||55||17476||4527||643|
01000US|United States|1|United States|22|Utilities|2211211|Electric services (electric power transmission & control)|1997|Reference year 1997|808|8 largest firms|22||420926||80.4||34296||10338||957|
01000US|United States|1|United States|22|Utilities|2211211|Electric services (electric power transmission & control)|1997|Reference year 1997|820|20 largest firms|39||516741||98.7||49655||14259||1267|
01000US|United States|1|United States|22|Utilities|2211211|Electric services (electric power transmission & control)|1997|Reference year 1997|850|50 largest firms|99||523508||100||66484||18466||1639|
01000US|United States|1|United States|22|Utilities|2211212|Electric & other serv combined (elec power transmsn & control)|1997|Reference year 1997|003|All firms|18||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|22|Utilities|2211212|Electric & other serv combined (elec power transmsn & control)|1997|Reference year 1997|804|4 largest firms|13||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|22|Utilities|2211212|Electric & other serv combined (elec power transmsn & control)|1997|Reference year 1997|808|8 largest firms|17||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|22|Utilities|2211212|Electric & other serv combined (elec power transmsn & control)|1997|Reference year 1997|820|20 largest firms|18||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|22|Utilities|2211212|Electric & other serv combined (elec power transmsn & control)|1997|Reference year 1997|850|50 largest firms|18||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|22|Utilities|221122|Electric power distribution|1997|Reference year 1997|003|All firms|6070||194763932||100||21954700||5830060||413421|
01000US|United States|1|United States|22|Utilities|221122|Electric power distribution|1997|Reference year 1997|804|4 largest firms|813||34566363||17.7||4566704||1286980||74304|
01000US|United States|1|United States|22|Utilities|221122|Electric power distribution|1997|Reference year 1997|808|8 largest firms|1205||53429421||27.4||6414108||1771030||105787|
01000US|United States|1|United States|22|Utilities|221122|Electric power distribution|1997|Reference year 1997|820|20 largest firms|2280||97596820||50.1||11181304||3017367||191578|
01000US|United States|1|United States|22|Utilities|221122|Electric power distribution|1997|Reference year 1997|850|50 largest firms|3259||150464199||77.3||16819355||4540561||293362|
01000US|United States|1|United States|22|Utilities|2211221|Electric services (electric power distribution)|1997|Reference year 1997|003|All firms|4653||112894143||100||12580294||3357665||242347|
01000US|United States|1|United States|22|Utilities|2211221|Electric services (electric power distribution)|1997|Reference year 1997|804|4 largest firms|1005||22475109||19.9||2606185||776406||46374|
01000US|United States|1|United States|22|Utilities|2211221|Electric services (electric power distribution)|1997|Reference year 1997|808|8 largest firms|1273||39261388||34.8||4641778||1316126||84007|
01000US|United States|1|United States|22|Utilities|2211221|Electric services (electric power distribution)|1997|Reference year 1997|820|20 largest firms|2159||70245803||62.2||7842432||2171325||140867|
01000US|United States|1|United States|22|Utilities|2211221|Electric services (electric power distribution)|1997|Reference year 1997|850|50 largest firms|2744||90006781||79.7||10077927||2751412||182102|
01000US|United States|1|United States|22|Utilities|2211222|Electric & other services combined (electric power distribution)|1997|Reference year 1997|003|All firms|1387||81442099||100||9322355||2455887||170396|
01000US|United States|1|United States|22|Utilities|2211222|Electric & other services combined (electric power distribution)|1997|Reference year 1997|804|4 largest firms|174||28367719||34.8||3668584||953820||57766|
01000US|United States|1|United States|22|Utilities|2211222|Electric & other services combined (electric power distribution)|1997|Reference year 1997|808|8 largest firms|301||42328439||52||4535709||1174145||72850|
