GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|OPTYPE|OPTYPE_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211101|Automobile & motorcycle whsle|1997|Reference year 1997|820|20 largest firms|265||200882341||86.3||996487||247862||38419|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211101|Automobile & motorcycle whsle|1997|Reference year 1997|850|50 largest firms|373||215493022||92.6||1223261||299611||45418|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211102|Bus & recreational vehicle whsle|1997|Reference year 1997|003|All firms|387||3059157||100||152468||33148||5047|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211102|Bus & recreational vehicle whsle|1997|Reference year 1997|804|4 largest firms|8||761897||24.9||13487||2948||207|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211102|Bus & recreational vehicle whsle|1997|Reference year 1997|808|8 largest firms|14||1004517||32.8||19172||4054||403|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211102|Bus & recreational vehicle whsle|1997|Reference year 1997|820|20 largest firms|30||1441741||47.1||40496||9226||1207|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211102|Bus & recreational vehicle whsle|1997|Reference year 1997|850|50 largest firms|66||2072367||67.7||80052||17192||2254|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211103|Light truck & van (14,000 lb or less) whsle|1997|Reference year 1997|003|All firms|548||159991093||100||427702||115721||9552|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211103|Light truck & van (14,000 lb or less) whsle|1997|Reference year 1997|804|4 largest firms|105||154880798||96.8||204925||64843||2756|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211103|Light truck & van (14,000 lb or less) whsle|1997|Reference year 1997|808|8 largest firms|109||157029636||98.1||234553||70936||3228|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211103|Light truck & van (14,000 lb or less) whsle|1997|Reference year 1997|820|20 largest firms|121||157842958||98.7||282053||81658||4694|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211103|Light truck & van (14,000 lb or less) whsle|1997|Reference year 1997|850|50 largest firms|153||158720030||99.2||346068||96398||6523|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211104|Medium truck & tractor (14,001 lb to 26,000 lb) whsle|1997|Reference year 1997|003|All firms|516||4375397||100||275806||66215||7929|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211104|Medium truck & tractor (14,001 lb to 26,000 lb) whsle|1997|Reference year 1997|804|4 largest firms|21||1748182||40||27733||7981||628|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211104|Medium truck & tractor (14,001 lb to 26,000 lb) whsle|1997|Reference year 1997|808|8 largest firms|26||1994141||45.6||44587||12311||1036|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211104|Medium truck & tractor (14,001 lb to 26,000 lb) whsle|1997|Reference year 1997|820|20 largest firms|47||2474241||56.5||80740||21599||1915|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211104|Medium truck & tractor (14,001 lb to 26,000 lb) whsle|1997|Reference year 1997|850|50 largest firms|87||3081198||70.4||142008||35635||3522|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211105|Heavy truck & tractor (over 26,000 lb) whsle|1997|Reference year 1997|003|All firms|2261||28150000||100||2015097||473874||57744|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211105|Heavy truck & tractor (over 26,000 lb) whsle|1997|Reference year 1997|804|4 largest firms|82||4508918||16||136909||35859||3322|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211105|Heavy truck & tractor (over 26,000 lb) whsle|1997|Reference year 1997|808|8 largest firms|101||5781711||20.5||194597||50178||4951|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211105|Heavy truck & tractor (over 26,000 lb) whsle|1997|Reference year 1997|820|20 largest firms|172||8097568||28.8||350695||91712||9190|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211105|Heavy truck & tractor (over 26,000 lb) whsle|1997|Reference year 1997|850|50 largest firms|283||11413766||40.5||562177||138784||14545|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42112|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|003|All firms|12620|r|83214728|r|100||5065064|r|1194084|r|156038|r
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42112|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|804|4 largest firms|350||15415739||18.5||942704||234475||23128|
