GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|53|Real estate and rental and leasing|53|Real estate & rental & leasing|1997|Reference year 1997|003|All firms|288273|r|240917556|r|100||41590766|r|9679345|r|1702420|r
01000US|United States|1|United States|53|Real estate and rental and leasing|53|Real estate & rental & leasing|1997|Reference year 1997|804|4 largest firms|1220||12721457||5.3||1836691||441411||65079|
01000US|United States|1|United States|53|Real estate and rental and leasing|53|Real estate & rental & leasing|1997|Reference year 1997|808|8 largest firms|5781||23011409||9.6||2954417||716941||128057|
01000US|United States|1|United States|53|Real estate and rental and leasing|53|Real estate & rental & leasing|1997|Reference year 1997|820|20 largest firms|9980||33989137||14.1||4745171||1182333||174914|
01000US|United States|1|United States|53|Real estate and rental and leasing|53|Real estate & rental & leasing|1997|Reference year 1997|850|50 largest firms|14292||46860722||19.5||5952227||1465954||220345|
01000US|United States|1|United States|53|Real estate and rental and leasing|531|Real estate|1997|Reference year 1997|003|All firms|221650||153274907||100||27947109||6521821||1117249|
01000US|United States|1|United States|53|Real estate and rental and leasing|531|Real estate|1997|Reference year 1997|804|4 largest firms|1557||4422483||2.9||1298150||350657||23701|
01000US|United States|1|United States|53|Real estate and rental and leasing|531|Real estate|1997|Reference year 1997|808|8 largest firms|2856||6276519||4.1||1448069||387902||29183|
01000US|United States|1|United States|53|Real estate and rental and leasing|531|Real estate|1997|Reference year 1997|820|20 largest firms|5219||9747919||6.4||2086789||551275||53178|
01000US|United States|1|United States|53|Real estate and rental and leasing|531|Real estate|1997|Reference year 1997|850|50 largest firms|6784||14707734||9.6||2810690||727599||73430|
01000US|United States|1|United States|53|Real estate and rental and leasing|5311|Lessors of real estate|1997|Reference year 1997|003|All firms|110226||85791328||100||9483898||2227558||469397|
01000US|United States|1|United States|53|Real estate and rental and leasing|5311|Lessors of real estate|1997|Reference year 1997|804|4 largest firms|1218||1784813||2.1||126829||30906||4443|
