YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,EXMT_INTRST_IND,EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,DIV_FRN_IND,DIV_FRN,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,CASH_PRPTY_DIST_IND,CASH_PRPTY_DIST,STCK_DIST_IND,STCK_DIST
2007,1,522295,1,0,6962,0,2094625724,0,49760871,0,149468342,0,571898,1,59687,1,298655,1,12614252,0,111891150,0,17857769,0,1499063705,0,205168307,0,5080113,0,2635884,0,0,0,0,0,473001,0,4531448,0,1182772,0,42748978,0,2094625724,0,35436947,0,688332815,0,33860750,0,1842452,0,1156724291,0,53786583,0,124641885,0,21953634,0,63276704,1,195003,0,53096189,0,13879645,0,248217542,0,15126729,0,196479930,0,1432381,0,49501,1,8112,1,21535,0,124911,0,231307,0,728038,0,55488,0,33959611,0,233167310,0,1013653,0,778663,0,3516354,0,177936,0,2310014,0,353747,0,344222,0,174538175,0,50205,0,8493004,0,367398,1,3773,0,188613,0,167561,0,434845,0,271,0,366669,0,40062206,0,15050232,0,25808,0,13643658,0,14989438,0,1345780,0,123471,0,903466,0,181625,0,720277,0,13823634,0,4815698,0,4812986,0,2018,0,19797,0,890190,0,1,0,3905710,0,2735505,0,51
2007,1,522300,13,0,9,0,148937535,0,2797482,0,37553946,0,6079857,0,76487,0,1272270,0,1623733,0,15068880,0,0,0,5298648,0,45780163,0,2671568,0,1253511,0,0,0,0,0,82965,0,24951057,0,685181,0,19778883,0,148937535,0,2244653,0,21322026,0,29958043,0,0,0,33914918,0,2335969,0,59161927,0,21357,0,57022776,0,0,0,2527280,0,409486,0,18290840,0,12176901,0,3986014,0,156645,0,145139,0,352157,0,3111,0,388606,0,351,0,39363,0,73771,0,968783,0,13871727,0,95558,0,72205,0,2203314,0,20452,0,116888,0,123668,0,501640,0,2303225,0,13272,0,265817,0,225549,0,0,0,1455557,0,140985,0,267414,0,32515,0,11515,0,6022153,0,4419113,0,268583,0,4531051,0,4967940,0,436889,0,0,0,445084,0,416191,0,28893,0,4534210,0,1587008,0,1587008,0,0,0,145208,0,2694,0,0,0,1439106,0,71387,0,0
2007,1,522300,12,0,18,0,17152639,0,1599979,0,4359849,0,62132,0,16612,0,337739,0,76951,0,1532683,0,542038,0,0,0,4087570,0,779449,0,361360,0,0,0,0,0,27775,0,3601306,0,541549,0,1155729,0,17152639,0,940413,0,640195,0,3004147,0,2051079,0,3613922,0,2214805,0,4688077,0,1497966,0,2451524,0,2186,0,973976,0,237575,0,4042520,0,3378440,0,515003,0,4058,0,26680,0,0,0,12225,0,24822,0,13167,0,1111,0,34927,0,32087,0,3538591,0,30552,0,42307,0,702721,0,17827,0,102881,0,100040,0,60320,0,459516,0,1016,0,157513,0,72538,0,0,0,447278,0,101334,0,83158,0,0,0,2648,0,1156943,0,503929,0,46549,0,546420,0,695716,0,149296,0,3972,0,2749,0,1972,0,777,0,685941,0,239955,0,239941,0,14,0,179,0,669,0,0,0,239107,0,0,0,0
2007,1,522300,11,0,11,0,3469830,0,590614,0,560842,0,3875,0,5460,0,10675,0,0,0,83682,0,325553,0,225370,0,849246,0,510275,0,205519,0,0,0,0,0,20180,0,274511,0,83349,0,306163,0,3469830,0,138779,0,1251964,0,910552,0,0,0,549075,0,-63367,0,682828,0,363829,0,272382,0,0,0,91001,0,44384,0,1532233,0,1296935,0,109648,0,19,0,1490,0,0,0,130,0,0,0,7790,0,15,0,27,0,116178,0,1360722,0,542,0,8873,0,350115,0,45991,0,757,0,46129,0,36786,0,170281,0,121,0,54951,0,42359,0,0,0,96870,0,21265,0,24659,0,0,0,16121,0,444902,0,171511,0,0,0,171492,0,212213,0,40720,0,37646,0,13361,0,13346,0,15,0,120485,0,42399,0,42133,0,265,0,20409,0,0,0,268,0,21721,0,20968,0,0
2007,1,522300,10,0,23,0,3748283,0,352079,0,864457,0,14726,0,3535,0,963,0,0,0,572027,0,16018,0,513926,0,712595,0,417814,0,197927,0,0,0,0,0,720,0,224705,0,28184,0,310281,0,3748283,0,326867,0,775445,0,454717,0,9524,0,666669,0,595276,0,919785,0,103172,0,848020,0,14866,0,-13150,0,33123,0,1572600,0,1476046,0,51631,0,10,0,93,0,0,0,3031,0,23459,0,19073,0,58,0,0,0,-801,0,1532881,0,428738,0,33858,0,317675,0,11137,0,93305,0,41194,0,35623,0,113798,0,153,0,13882,0,65003,0,0,0,53644,0,5285,0,17012,0,0,0,3569,0,299005,0,39719,0,7,0,39716,0,131388,0,91672,0,41299,0,13125,0,13085,0,40,0,71823,0,25034,0,25034,0,0,0,0,0,255,0,0,0,24778,0,54565,0,0
2007,1,522300,9,0,30,0,2094681,0,329330,0,494626,0,14553,0,200,0,2278,0,0,0,184589,0,4597,0,440798,0,266116,0,210187,0,115125,0,0,0,0,0,3576,0,159489,0,37967,0,166540,0,2094681,0,225533,0,444499,0,264097,0,75738,0,479322,0,85193,0,520299,0,83976,0,278766,0,0,0,172100,0,14543,0,1158557,0,1053373,0,17762,0,496,0,1615,0,102,0,224,0,410,0,638,0,79,0,0,0,83858,0,1105698,0,147803,0,26229,0,218721,0,7628,0,28190,0,32952,0,22714,0,86910,0,108,0,6452,0,17389,0,0,0,8402,0,5246,0,16561,0,0,0,7418,0,472973,0,52859,0,0,0,52363,0,84449,0,32086,0,30350,0,4955,0,4899,0,56,0,38022,0,13262,0,13164,0,98,0,1274,0,1,0,5,0,11983,0,665,0,0
2007,1,522300,8,0,62,0,2324626,0,208251,0,891515,1,7899,1,362,1,18478,1,511,0,338348,1,559,1,499923,0,193982,0,132200,0,79903,0,0,0,0,1,18821,1,22585,1,11714,0,98607,0,2324626,0,388506,0,526703,0,270987,1,195275,0,329812,1,61023,0,552321,0,133130,0,181175,0,0,0,240403,1,2387,0,697117,0,639800,1,21373,1,553,1,9,0,0,0,0,0,0,1,2408,0,0,0,0,0,32974,0,652354,1,51603,0,36965,0,192797,0,3194,0,8680,0,16878,0,22618,0,85582,1,10,1,339,0,13051,0,0,0,6383,0,2486,0,6404,0,0,0,255,0,205109,0,44762,0,0,0,44210,0,88368,1,44158,0,67365,1,4757,1,4757,0,0,1,967,1,391,1,308,0,84,0,0,0,0,0,0,1,391,1,4021,0,0
2007,1,522300,7,0,118,0,1722012,0,240618,0,255654,1,5904,0,0,1,32735,1,22593,0,266922,1,12626,0,492062,0,64562,0,286966,0,125387,0,0,0,0,1,9362,0,112071,0,63915,0,121049,0,1722012,0,112319,0,465541,0,317643,1,71597,0,378838,0,193891,0,182184,0,73887,0,419682,0,0,0,-251768,1,59616,0,1219862,0,1135886,0,24981,1,962,1,104,0,0,1,397,1,10,1,15123,0,0,0,0,0,42400,0,1236216,1,181945,0,45393,0,403268,0,8092,0,26626,0,56286,0,35897,0,74404,1,359,0,7208,0,31280,0,0,0,17543,0,3393,0,17275,0,0,1,2655,0,324594,0,-16354,0,0,0,-17316,0,87125,0,104440,0,11357,1,6248,1,6248,0,0,1,19500,1,6587,1,6584,0,0,0,0,1,2,1,388,1,6198,1,5257,0,1653
2007,1,522300,6,0,219,0,1510226,0,428875,0,577571,1,6115,1,2549,0,0,0,0,0,29618,1,656,1,157181,0,73216,0,185230,0,68895,0,0,0,0,1,27540,1,9760,1,3098,0,96138,0,1510226,0,47728,0,322949,0,149283,1,110282,0,360011,1,313932,0,206041,0,60131,0,268513,0,0,0,-86898,1,35706,0,667445,0,633177,0,17840,0,0,1,737,0,0,1,1485,1,893,0,0,1,103,0,0,0,13210,0,722227,1,146611,0,48013,0,296891,0,2523,0,14718,0,16911,0,24308,0,22179,1,125,1,591,0,5388,0,0,0,2900,1,1754,0,8398,0,0,1,9,0,130906,0,-54782,0,0,0,-54782,0,11558,0,66340,0,-26151,1,72,0,0,1,72,1,8124,1,2586,1,2586,0,0,0,0,0,0,0,0,1,2586,0,0,1,8308
2007,1,522300,5,0,1095,0,2189811,0,631644,0,328653,1,1318,0,0,0,0,1,335,0,204323,1,38375,0,507448,0,250698,0,360545,0,246383,0,0,0,0,1,12035,0,113863,0,80260,0,69853,0,2189811,0,195876,0,305148,0,494209,1,255090,0,261237,1,76124,0,602126,0,242546,0,312075,0,0,0,66409,1,18905,0,2889052,0,2794962,0,20905,1,375,1,94,0,0,0,0,1,3673,1,525,1,121,0,0,0,68397,0,2711098,0,888636,0,100694,0,550699,0,14088,0,221237,0,133247,0,87991,0,49006,1,320,0,13036,0,27897,0,0,0,52272,0,6021,0,41767,0,0,1,2003,0,522184,0,177954,0,0,0,177579,0,311244,0,133665,0,192491,1,5005,1,4921,1,84,0,24732,0,8574,0,8574,0,0,0,0,0,19,0,0,0,8555,1,10690,0,0
