GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|48|Transportation and warehousing|48-49|Transportation & warehousing %% **|1997|Reference year 1997|003|All firms|178025||318245044||100||82346182||19354944||2920777|
01000US|United States|1|United States|48|Transportation and warehousing|48-49|Transportation & warehousing %% **|1997|Reference year 1997|804|4 largest firms|2654||35003705||10.998978825||12595920||3188211||420804|
01000US|United States|1|United States|48|Transportation and warehousing|48-49|Transportation & warehousing %% **|1997|Reference year 1997|808|8 largest firms|4039||46247386||14.532005092||15607071||3883792||496649|
01000US|United States|1|United States|48|Transportation and warehousing|48-49|Transportation & warehousing %% **|1997|Reference year 1997|820|20 largest firms|6164||69454962||21.824365629||19985565||4999463||626396|
01000US|United States|1|United States|48|Transportation and warehousing|48-49|Transportation & warehousing %% **|1997|Reference year 1997|850|50 largest firms|9578||97710419||30.702887866||26209325||6504138||825099|
01000US|United States|1|United States|48|Transportation and warehousing|481|Air transportation %%|1997|Reference year 1997|003|All firms|3598||20249033||100||2748050||642393||89125|
01000US|United States|1|United States|48|Transportation and warehousing|481|Air transportation %%|1997|Reference year 1997|804|4 largest firms|86||4147330||20.481620036||341300||77731||9986|
01000US|United States|1|United States|48|Transportation and warehousing|481|Air transportation %%|1997|Reference year 1997|808|8 largest firms|256||5966716||29.466671322||489936||112773||15196|
01000US|United States|1|United States|48|Transportation and warehousing|481|Air transportation %%|1997|Reference year 1997|820|20 largest firms|539||9588113||47.350967328||920813||215380||29419|
01000US|United States|1|United States|48|Transportation and warehousing|481|Air transportation %%|1997|Reference year 1997|850|50 largest firms|822||13359628||65.976622192||1425676||332209||43805|
01000US|United States|1|United States|48|Transportation and warehousing|4811|Scheduled air transportation %%|1997|Reference year 1997|003|All firms|1798||16284929||100||1920912||453789||65988|
01000US|United States|1|United States|48|Transportation and warehousing|4811|Scheduled air transportation %%|1997|Reference year 1997|804|4 largest firms|85||4145760||25.457648603||339995||77421||9936|
