year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 1 to 4,2161223,2169882,5301413,4961417,489189,23.213,364132,17.279,2051560,1263403,788157,25.465,41.35,1362891,907222,455669,18.286,27.47,688669,13.88,54.94,293872,294765,749033
1978,b) 5 to 9,664229,683541,4942364,4646110,45126,6.69,27134,4.023,1361335,513008,848327,11.042,29.301,771603,320789,450814,6.904,16.608,589732,12.693,33.215,20149,21117,266390
1978,c) 10 to 19,387945,427438,5719571,5406609,23367,5.521,14917,3.525,1383942,429895,954047,7.951,25.597,758503,278663,479840,5.154,14.029,625439,11.568,28.058,8171,9244,218979
1978,d) 20 to 99,304346,429052,12689322,12027223,29358,6.903,21864,5.141,2845551,771285,2074266,6.413,23.659,1522915,554361,968554,4.609,12.662,1322636,10.997,25.324,4648,6217,338708
1978,e) 100 to 499,45450,163199,8968688,8628407,18002,11.069,16882,10.38,1925896,533249,1392647,6.18,22.32,1247259,492535,754724,5.708,14.455,678637,7.865,28.911,391,991,135934
1978,f) 500 to 999,5523,51746,3384055,3296437,6262,12.184,5560,10.818,667367,204921,462446,6.216,20.245,492359,215629,276730,6.541,14.936,175008,5.309,29.872,30,87,42010
1978,g) 1000 to 2499,3364,65689,4295521,4199070,8180,12.466,8035,12.245,774303,264529,509774,6.3,18.44,582145,277558,304587,6.61,13.864,192158,4.576,27.727,13,77,37559
1978,h) 2500 to 4999,1356,54338,3288063,3231103,6257,11.526,6154,11.336,563346,208954,354392,6.467,17.435,449514,205111,244403,6.348,13.912,113832,3.523,27.824,(D),(D),(D)
1978,i) 5000 to 9999,820,48515,3509296,3416960,6303,13.161,5057,10.559,627247,226567,400680,6.631,18.357,442952,174718,268234,5.113,12.963,184295,5.394,25.927,(D),(D),(D)
1978,j) 10000+,694,217226,17311708,16996668,22182,10.324,17467,8.129,2477767,769367,1708400,4.527,14.578,1845052,621460,1223592,3.656,10.855,632715,3.723,21.711,(D),(D),(D)
1979,a) 1 to 4,2187091,2194772,5309322,5097668,481132,22.527,363154,17.003,1951599,1249322,702277,24.508,38.284,1528611,942286,586325,18.485,29.986,422988,8.298,59.973,290433,291525,766547
1979,b) 5 to 9,704058,723910,5142542,4977467,40416,5.614,32372,4.497,1308169,488822,819347,9.821,26.282,980798,384542,596256,7.726,19.705,327371,6.577,39.41,23259,24293,307171
1979,c) 10 to 19,417600,456876,6058365,5867219,18799,4.126,16207,3.557,1321553,389597,931956,6.64,22.524,939031,321676,617355,5.483,16.005,382522,6.52,32.009,9246,10143,246436
1979,d) 20 to 99,332630,460001,13698330,13260913,22102,4.829,17542,3.832,2638575,621805,2016770,4.689,19.897,1761997,537150,1224847,4.051,13.287,876578,6.61,26.574,4744,5833,337769
1979,e) 100 to 499,49672,175610,9752053,9474977,15381,8.863,11251,6.483,1758945,460976,1297969,4.865,18.564,1203863,385213,818650,4.066,12.706,555082,5.858,25.411,320,695,102938
1979,f) 500 to 999,5729,54049,3587917,3497712,5592,10.417,4861,9.055,592139,188083,404056,5.377,16.929,408896,151546,257350,4.333,11.69,183243,5.239,23.381,15,125,16473
1979,g) 1000 to 2499,3441,69247,4560274,4414566,8603,12.694,5656,8.345,749495,267149,482346,6.052,16.978,462960,192641,270319,4.364,10.487,286535,6.491,20.974,5,17,8135
