year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1981,b) 5 to 9,718604,739217,5108174,5063370,39416,5.358,32382,4.402,1166422,488322,678100,9.644,23.036,1077486,392184,685302,7.746,21.280,88936,1.756,42.560,24752,26110,327920
1981,c) 10 to 19,426275,465265,6025763,5979657,18853,4.069,15048,3.248,1174660,423839,750821,7.088,19.644,1081534,329898,751636,5.517,18.087,93126,1.557,36.174,10217,11258,274310
1981,d) 20 to 99,342870,471589,13735813,13622859,23402,5.006,15226,3.257,2335453,746302,1589151,5.478,17.144,2107348,525631,1581717,3.858,15.469,228105,1.674,30.938,5276,6690,371666
1981,e) 100 to 499,52119,189023,9948371,9885672,15376,8.266,9364,5.034,1517511,474381,1043130,4.799,15.351,1389717,311186,1078531,3.148,14.058,127794,1.293,28.116,340,900,114571
1981,f) 500 to 999,5985,58037,3611888,3578109,5601,9.882,2889,5.097,514015,166324,347691,4.648,14.366,444175,105155,339020,2.939,12.414,69840,1.952,24.827,13,240,18457
1981,g) 1000 to 2499,3874,72842,4892667,4859623,6955,9.761,3775,5.298,596767,197948,398819,4.073,12.280,531321,135266,396055,2.783,10.933,65446,1.347,21.867,8,25,26597
1981,h) 2500 to 4999,1511,62399,3697114,3686818,6201,10.224,2705,4.460,427339,144824,282515,3.928,11.591,404976,79866,325110,2.166,10.984,22363,0.607,21.969,0,0,0
1981,i) 5000 to 9999,913,63601,3856757,3830883,5799,9.323,2993,4.812,445575,139930,305645,3.653,11.631,393491,85209,308282,2.224,10.272,52084,1.360,20.543,D,D,D
1981,j) 10000+,891,254711,19556800,19598352,19134,7.568,15367,6.078,2175194,620696,1554498,3.167,11.099,2259295,475184,1784111,2.425,11.528,-84101,-0.429,22.198,0,0,0
1982,a) 1 to 4,2207346,2216037,5265205,5263898,438855,19.737,453808,20.410,1796968,1145107,651861,21.754,34.138,1792582,1136767,655815,21.596,34.054,4386,0.083,68.109,360658,362166,931331
1982,b) 5 to 9,720266,740929,5062448,5088849,39462,5.334,37122,5.018,1121616,448323,673293,8.810,22.041,1173556,432721,740835,8.503,23.061,-51940,-1.021,44.081,27503,28628,365587
1982,c) 10 to 19,424724,463417,5924139,5958326,20240,4.370,19714,4.256,1138252,394974,743278,6.629,19.104,1205502,376350,829152,6.316,20.232,-67250,-1.129,38.207,11497,12593,308832
1982,d) 20 to 99,339844,470929,13511751,13545841,20127,4.283,18098,3.851,2292078,653764,1638314,4.826,16.921,2361748,589048,1772700,4.349,17.435,-69670,-0.514,33.842,6184,7730,440333
1982,e) 100 to 499,52222,195396,9996283,9962330,12675,6.562,8188,4.239,1549161,411911,1137250,4.135,15.550,1483356,299930,1183426,3.011,14.890,65805,0.661,29.779,411,1021,133633
