GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|51|Information|51|Information|1997|Reference year 1997|003|All firms|114475||623213854||100||129481577||0|N|3066167|
01000US|United States|1|United States|51|Information|511|Publishing industries|1997|Reference year 1997|003|All firms|33896||179035423||100||43358072||0|N|1006214|
01000US|United States|1|United States|51|Information|5111|Newspaper, periodical, book, & database publishers|1997|Reference year 1997|003|All firms|21806||117336003||100||24971288||0|N|739834|
01000US|United States|1|United States|51|Information|5112|Software publishers|1997|Reference year 1997|003|All firms|12090||61699420||100||18386784||4358485||266380|
01000US|United States|1|United States|51|Information|5112|Software publishers|1997|Reference year 1997|804|4 largest firms|236||17390963||28.186590733||3257246||834356||29060|
01000US|United States|1|United States|51|Information|5112|Software publishers|1997|Reference year 1997|808|8 largest firms|251||21980709||35.625471034||3962154||997402||35437|
01000US|United States|1|United States|51|Information|5112|Software publishers|1997|Reference year 1997|820|20 largest firms|586||28450513||46.111475602||5869969||1467536||57520|
01000US|United States|1|United States|51|Information|5112|Software publishers|1997|Reference year 1997|850|50 largest firms|855||35265678||57.157227734||7898707||1935126||84999|
01000US|United States|1|United States|51|Information|51121|Software publishers|1997|Reference year 1997|003|All firms|12090||61699420||100||18386784||4358485||266380|
01000US|United States|1|United States|51|Information|51121|Software publishers|1997|Reference year 1997|804|4 largest firms|236||17390963||28.186590733||3257246||834356||29060|
01000US|United States|1|United States|51|Information|51121|Software publishers|1997|Reference year 1997|808|8 largest firms|251||21980709||35.625471034||3962154||997402||35437|
01000US|United States|1|United States|51|Information|51121|Software publishers|1997|Reference year 1997|820|20 largest firms|586||28450513||46.111475602||5869969||1467536||57520|
01000US|United States|1|United States|51|Information|51121|Software publishers|1997|Reference year 1997|850|50 largest firms|855||35265678||57.157227734||7898707||1935126||84999|
01000US|United States|1|United States|51|Information|511210|Software publishers|1997|Reference year 1997|003|All firms|12090||61699420||100||18386784||4358485||266380|
01000US|United States|1|United States|51|Information|511210|Software publishers|1997|Reference year 1997|804|4 largest firms|236||17390963||28.186590733||3257246||834356||29060|
01000US|United States|1|United States|51|Information|511210|Software publishers|1997|Reference year 1997|808|8 largest firms|251||21980709||35.625471034||3962154||997402||35437|
01000US|United States|1|United States|51|Information|511210|Software publishers|1997|Reference year 1997|820|20 largest firms|586||28450513||46.111475602||5869969||1467536||57520|
01000US|United States|1|United States|51|Information|511210|Software publishers|1997|Reference year 1997|850|50 largest firms|855||35265678||57.157227734||7898707||1935126||84999|
01000US|United States|1|United States|51|Information|512|Motion picture & sound recording industries|1997|Reference year 1997|003|All firms|22204||55925533||100||9392048||2164901||275981|
01000US|United States|1|United States|51|Information|512|Motion picture & sound recording industries|1997|Reference year 1997|804|4 largest firms|334||17415941||31.14130535||1831939||469980||45046|
01000US|United States|1|United States|51|Information|512|Motion picture & sound recording industries|1997|Reference year 1997|808|8 largest firms|414||25699758||45.95353253||2636512||663199||53344|
01000US|United States|1|United States|51|Information|512|Motion picture & sound recording industries|1997|Reference year 1997|820|20 largest firms|2327||32074014||57.351288901||3395723||839907||111052|
01000US|United States|1|United States|51|Information|512|Motion picture & sound recording industries|1997|Reference year 1997|850|50 largest firms|2965||36915183||66.00774462||4019759||970087||134153|
01000US|United States|1|United States|51|Information|5121|Motion picture & video industries|1997|Reference year 1997|003|All firms|19269||44785652||100||8280395||1924103||254467|
01000US|United States|1|United States|51|Information|5121|Motion picture & video industries|1997|Reference year 1997|804|4 largest firms|321||14554411||32.497932597||1732437||445419||44003|
01000US|United States|1|United States|51|Information|5121|Motion picture & video industries|1997|Reference year 1997|808|8 largest firms|625||20051238||44.771566572||2390615||609429||59221|
