YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,COMP_DIV_FRN_CORP_IND,COMP_DIV_FRN_CORP,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,(cash_dist + prpty_dist)_IND,(cash_dist + prpty_dist),STCK_DIST_IND,STCK_DIST
2008,1,1,13,0,2582,0,62241451211,0,3377567107,0,11362761918,0,218055251,0,628097714,0,1804845231,0,1161939642,0,4389279714,0,146972370,0,4986261210,0,22643093352,0,5662007000,0,2468046498,0,463319983,0,163944313,0,232533692,0,3015403937,0,439723555,0,5657137956,0,62241451211,0,5560299556,0,3906642953,0,17847574733,0,180462243,0,8763845657,0,6942069591,0,19040556478,0,2024344968,0,17070644886,0,106302442,0,1433847373,0,1594583191,0,14619180959,0,11552904045,0,1820890276,0,43448078,0,108078420,0,140269246,0,13476314,0,70737403,0,39512417,0,31953863,0,90996072,0,706914824,0,14044301217,0,7818240955,0,39493694,0,1093400146,0,86671715,0,193704771,0,149944818,0,219186384,0,1335979361,0,9385241,0,123418610,0,449213764,0,14889914,0,142405040,0,100028852,0,166358109,0,14223999,0,78519139,0,2009236706,0,574879742,0,139104224,0,670535888,0,1050157329,0,379621441,0,3088132,0,336716855,0,56967289,0,21657181,0,736507352,0,259639171,0,258082532,0,1430774,0,92713116,0,9182846,0,1481504,0,156086921,0,770150941,0,1618133
2008,1,1,12,0,6235,0,7017405281,0,273705481,0,999729188,0,24462522,0,237090242,0,237993400,0,288716576,0,274457070,0,16724079,0,281447082,0,2870277150,0,1122516944,0,496396834,0,72967864,0,28251816,0,70593169,0,657453189,0,103186336,0,266031355,0,7017405281,0,481339929,0,243149567,0,1209196878,0,51498523,0,999508723,0,452942898,0,3579768763,0,520688388,0,3748533829,0,8304040,0,-523855337,0,173902157,0,3162833808,0,2823445692,0,124654246,0,15431857,0,19398899,0,19470975,0,7817426,0,12819841,0,4780298,0,1855970,0,8428095,0,124730508,0,3016372215,0,1832215272,0,19324329,0,322600530,0,19647142,0,18590400,0,58166015,0,52101789,0,109190451,0,1216740,0,27545526,0,95419385,0,3390203,0,32761662,0,16203193,0,46499573,0,1959112,0,10030222,0,349510671,0,146461594,0,8771342,0,139801079,0,216896678,0,77095599,0,9372563,0,96362217,0,17844718,0,1404137,0,107714630,0,38094550,0,37613186,0,443613,0,4756698,0,1161769,0,235663,0,31934897,0,176110954,0,652200
2008,1,1,11,0,5125,0,1847844726,0,91833997,0,371349728,0,8659993,0,80532012,0,62358291,0,80849648,0,76803651,0,3652863,0,82475383,0,654094375,0,299791605,0,141720828,0,21460242,0,10746710,0,20166354,0,141517920,0,24601770,0,46687959,0,1847844726,0,146603394,0,64740968,0,414302453,0,14267857,0,240184207,0,102277319,0,865468527,0,136618054,0,937919225,0,2017117,0,-185738758,0,25347110,0,962600459,0,873115262,0,33218108,0,4419176,0,4213415,0,3105887,0,982359,0,3569820,0,1542131,0,507565,0,1597605,0,36329132,0,929045002,0,584469785,0,8441340,0,87850191,0,5304030,0,7387854,0,18366075,0,14807802,0,30191818,0,270009,0,7708825,0,25092281,0,814247,0,9498954,0,4084566,0,13552012,0,620519,0,2343122,0,108241571,0,33555457,0,1468694,0,30604975,0,60619587,0,30014612,0,7600086,0,19638025,0,3793741,0,369533,0,30685008,0,10824675,0,10686738,0,94388,0,1366599,0,234825,0,42844,0,9179637,0,49307207,0,236186
2008,1,1,10,0,9903,0,1578763807,0,99346574,0,360098790,0,8174983,0,92034112,0,51097753,0,58386759,0,75897871,0,2949938,0,53697365,0,460528911,0,322480076,0,156927878,0,12339858,0,4376758,0,20923125,0,115920887,0,21990575,0,44531981,0,1578763807,0,147517190,0,77575784,0,364418139,0,20117937,0,205280466,0,76690654,0,687163637,0,126013931,0,716739925,0,1466086,0,-137378585,0,19677720,0,1096062135,0,1022253188,0,24958435,0,3347277,0,4208925,0,2753826,0,1357929,0,3651165,0,1856932,0,435379,0,751532,0,30487548,0,1072943601,0,701544928,0,11786255,0,105741964,0,5959422,0,5693182,0,19949727,0,15625077,0,27626894,0,298865,0,6993232,0,28171850,0,606999,0,9777252,0,3797289,0,13433387,0,444612,0,4839221,0,110653446,0,23118533,0,865307,0,20636563,0,56123719,0,35487156,0,12635892,0,20935620,0,4757264,0,327607,0,23043201,0,8183736,0,8054497,0,102512,0,487522,0,198170,0,52757,0,7444825,0,33743152,0,170604
2008,1,1,9,0,10899,0,771190115,0,67483034,0,166793274,0,4587065,0,71569560,0,20889603,0,16952986,0,46747271,0,3782680,0,16162016,0,177220764,0,213177345,0,108251973,0,4800752,0,1847574,0,15674608,0,52313853,0,10876785,0,23185766,0,771190115,0,80623231,0,53945555,0,148001490,0,15072775,0,117083355,0,53222707,0,303241003,0,64535879,0,307260346,0,1291015,0,-59305795,0,10540442,0,801650331,0,766203849,0,7859814,0,1073077,0,1775653,0,961477,0,434699,0,1862537,0,1179183,0,212681,0,330985,0,19756377,0,789266105,0,533082193,0,10490085,0,73831082,0,4014832,0,3092924,0,14116841,0,11744912,0,13080022,0,163856,0,3400790,0,18741178,0,423343,0,6808504,0,2788845,0,9941670,0,254580,0,1461623,0,81828824,0,12384226,0,255303,0,11566452,0,35358001,0,23791549,0,11908698,0,5984331,0,2720170,0,166429,0,12766442,0,4456892,0,4390533,0,52968,0,234547,0,96441,0,26037,0,4099804,0,12398090,0,66282
2008,1,1,8,0,16928,0,593044185,0,60004385,0,121109240,0,3624284,0,81699347,0,7638132,0,6585835,0,41731016,0,4668603,0,7453130,0,107610297,0,207614191,0,110550999,0,4351883,0,1540698,0,16655895,0,40072934,0,15830167,0,17395445,0,593044185,0,68829728,0,62394424,0,85152393,0,17389600,0,101368871,0,27077718,0,230831451,0,57976735,0,213202184,0,688100,0,-32628746,0,8406822,0,857522956,0,832719757,0,4040075,0,471671,0,1218443,0,694036,0,237521,0,1675682,0,1301002,0,299232,0,217533,0,14648005,0,843515206,0,604216300,0,12220127,0,73358485,0,3788706,0,2758712,0,15177318,0,11529224,0,10462908,0,165264,0,2546736,0,17998069,0,425916,0,6330189,0,2607878,0,8894202,0,181941,0,791728,0,70061504,0,14007750,0,227878,0,13763958,0,35691032,0,21927074,0,15634039,0,3827487,0,2256689,0,269858,0,10343012,0,3580869,0,3530358,0,46232,0,112210,0,75374,0,26874,0,3366340,0,8433739,0,67179
2008,1,1,7,0,45781,0,707506699,0,84254356,0,146473485,0,3414218,0,121423548,0,4850325,0,3388911,0,49662625,0,7832141,0,5861534,0,93802909,0,286818428,0,159256744,0,3492036,0,1587382,0,24632897,0,31285565,0,9999419,0,17985702,0,707506699,0,91990236,0,95099091,0,79743927,0,28959227,0,130988970,0,28975965,0,251749283,0,64346362,0,180485139,0,1517943,0,17801935,0,12402096,0,1283009748,0,1254983939,0,3192845,0,336626,0,1356167,0,570110,0,266813,0,1540551,0,1943999,0,281643,0,177350,0,18359706,0,1265428566,0,912155008,0,23362747,0,114831015,0,5805842,0,3638901,0,23454702,0,17979939,0,12243444,0,139222,0,2419010,0,23856343,0,281194,0,9357847,0,4076265,0,13987168,0,238680,0,1036801,0,96564439,0,17581182,0,155765,0,17400322,0,48510925,0,31110603,0,23700470,0,3089893,0,2206459,0,220483,0,11898352,0,4087687,0,4032232,0,43893,0,102347,0,69765,0,20919,0,3893161,0,5467408,0,61957
2008,1,1,6,0,69873,0,484420349,0,63270211,0,93151585,0,1818643,0,93182576,0,1293387,0,1245080,0,34496402,0,7296205,0,3470947,0,49871218,0,224823835,0,128610924,0,909037,0,298076,0,20867697,0,15790583,0,5316435,0,10795663,0,484420349,0,61410860,0,68288503,0,48343757,0,28874156,0,100663305,0,19545077,0,157294692,0,45489502,0,102055423,0,856646,0,19551256,0,10658135,0,955888408,0,937388339,0,1686375,0,180506,0,679106,0,306435,0,161973,0,1199550,0,1508573,0,148716,0,24123,0,12604712,0,942417820,0,663802350,0,22637220,0,87840285,0,5329524,0,2832295,0,19654673,0,14620534,0,8867840,0,127645,0,1267986,0,17521470,0,140131,0,6878830,0,3096907,0,9795775,0,148344,0,712411,0,77143599,0,13470588,0,34395,0,13324477,0,36458669,0,23134192,0,18267007,0,1992638,0,1629413,0,119792,0,7845619,0,2664062,0,2627107,0,28169,0,19526,0,59571,0,15671,0,2569279,0,2691728,1,17470
2008,1,1,5,0,425523,0,904463356,0,128400732,0,161381196,0,2084654,0,136441317,0,1648652,0,1024995,0,63478899,0,22281041,0,9089355,0,75382313,0,520052251,0,310556667,0,2065937,0,945577,0,55375020,0,36725436,0,15204645,0,19907755,0,904463356,0,112272117,0,91335175,0,86803653,0,88770399,0,223212675,0,37364373,0,264704964,0,66956615,0,153543603,0,3453343,0,62730899,0,21979496,0,1901621923,0,1863198652,0,2793511,0,350963,0,1511575,0,464392,0,129458,0,2698576,0,2826805,0,378707,0,67710,0,27201574,0,1866291237,0,1185047449,0,75805263,0,205766675,0,13265552,0,5358947,0,51252570,0,36719315,0,18116594,0,216006,0,2638920,0,34097747,0,184205,0,14222903,0,7522782,0,20250289,0,210017,0,1148206,0,194467796,0,35330687,0,33800,0,35013523,0,80317132,0,45303609,0,43109659,0,4309149,0,3872204,0,307475,0,12785010,0,3917946,0,3874711,0,29037,0,37821,0,80595,0,16685,0,3782846,0,3997614,0,52141
2008,1,1,4,0,379165,0,266298395,0,45645249,0,35795602,0,598682,0,35288989,0,151495,0,239288,0,17232540,0,11195056,0,2377738,0,18224827,0,195801659,0,127606549,0,306042,0,167419,0,17662192,0,16188725,0,6325024,0,4886668,0,266298395,0,29947800,0,22545680,0,23884718,0,40200930,0,75390574,0,7893908,0,66434784,0,26209446,0,51537132,0,1781791,0,-4159833,0,8933752,0,647987277,0,633709143,0,749621,0,54864,0,656621,0,88044,0,67666,0,958456,0,961599,0,111085,0,20322,0,10609855,0,632246666,0,342561990,0,38193541,0,78816566,0,6392485,0,1654440,0,22984296,0,15558038,0,6338531,0,81702,0,1008701,0,12172240,0,20651,0,6007920,0,3105319,0,6849734,0,30627,0,435325,0,90034559,0,15740610,1,9706,0,15695452,0,32436698,0,16741246,0,18413957,0,1687978,0,1607210,0,75816,0,3777723,0,925796,0,920711,0,2333,0,9654,0,25722,0,1191,0,889230,0,1091788,1,3762
