GEOTYPE|ST|GEO_ID|GEO_TTL|SECTOR|NAICS2012|NAICS2012_TTL|CONCENFI|CONCENFI_TTL|FOOTID_NAICS|FOOTID_GEO|YEAR|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F
01|00|0100000US|United States|72|721191|Bed-and-breakfast inns|808|8 largest firms|||2012|27||59503||5.7||14260||3024||574|
01|00|0100000US|United States|72|721191|Bed-and-breakfast inns|820|20 largest firms|||2012|44||97867||9.4||27297||5983||1238|
01|00|0100000US|United States|72|721191|Bed-and-breakfast inns|850|50 largest firms|||2012|75||165755||15.9||49637||10355||2235|
01|00|0100000US|United States|72|721199|All other traveler accommodation|001|All firms|||2012|1384||702769||100.0||170065||33005||7945|
01|00|0100000US|United States|72|721199|All other traveler accommodation|804|4 largest firms|||2012|22||78518||11.2||24778||5768||1130|
01|00|0100000US|United States|72|721199|All other traveler accommodation|808|8 largest firms|||2012|26||110410||15.7||35098||7958||1442|
01|00|0100000US|United States|72|721199|All other traveler accommodation|820|20 largest firms|||2012|43||164778||23.4||50089||10783||1882|
01|00|0100000US|United States|72|721199|All other traveler accommodation|850|50 largest firms|||2012|76||250314||35.6||68235||14563||2541|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|001|All firms|||2012|7414||4838704||100.0||1219751||204362||40561|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|804|4 largest firms|||2012|159||272081||5.6||63743||14293||2687|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|808|8 largest firms|||2012|175||386134||8.0||93732||19671||3292|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|820|20 largest firms|||2012|214||555168||11.5||136241||26923||4306|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|850|50 largest firms|||2012|288||842110||17.4||210922||39171||6642|
01|00|0100000US|United States|72|72121|RV (recreational vehicle) parks and recreational camps|001|All firms|||2012|7414||4838704||100.0||1219751||204362||40561|
01|00|0100000US|United States|72|72121|RV (recreational vehicle) parks and recreational camps|804|4 largest firms|||2012|159||272081||5.6||63743||14293||2687|
01|00|0100000US|United States|72|72121|RV (recreational vehicle) parks and recreational camps|808|8 largest firms|||2012|175||386134||8.0||93732||19671||3292|
01|00|0100000US|United States|72|72121|RV (recreational vehicle) parks and recreational camps|820|20 largest firms|||2012|214||555168||11.5||136241||26923||4306|
01|00|0100000US|United States|72|72121|RV (recreational vehicle) parks and recreational camps|850|50 largest firms|||2012|288||842110||17.4||210922||39171||6642|
01|00|0100000US|United States|72|721211|RV (recreational vehicle) parks and campgrounds|001|All firms|||2012|4422||2367002||100.0||495195||90023||19747|
01|00|0100000US|United States|72|721211|RV (recreational vehicle) parks and campgrounds|804|4 largest firms|||2012|141||246437||10.4||58004||13185||2481|
01|00|0100000US|United States|72|721211|RV (recreational vehicle) parks and campgrounds|808|8 largest firms|||2012|157||309167||13.1||68286||15264||2863|
01|00|0100000US|United States|72|721211|RV (recreational vehicle) parks and campgrounds|820|20 largest firms|||2012|199||437749||18.5||98805||19964||3723|
01|00|0100000US|United States|72|721211|RV (recreational vehicle) parks and campgrounds|850|50 largest firms|||2012|254||610889||25.8||133976||26368||4953|
01|00|0100000US|United States|72|721214|Recreational and vacation camps (except campgrounds)|001|All firms|||2012|2992||2471702||100.0||724556||114339||20814|
01|00|0100000US|United States|72|721214|Recreational and vacation camps (except campgrounds)|804|4 largest firms|||2012|38||136675||5.5||34795||5846||676|
01|00|0100000US|United States|72|721214|Recreational and vacation camps (except campgrounds)|808|8 largest firms|||2012|46||193009||7.8||49914||8308||1003|
01|00|0100000US|United States|72|721214|Recreational and vacation camps (except campgrounds)|820|20 largest firms|||2012|70||326726||13.2||92963||16223||2184|
01|00|0100000US|United States|72|721214|Recreational and vacation camps (except campgrounds)|850|50 largest firms|||2012|117||510115||20.6||147520||24590||3972|
01|00|0100000US|United States|72|7213|Rooming and boarding houses|001|All firms|||2012|2130||1347371||100.0||217666||55024||11921|
01|00|0100000US|United States|72|7213|Rooming and boarding houses|804|4 largest firms|||2012|21||282394||21.0||31828||7430||670|
01|00|0100000US|United States|72|7213|Rooming and boarding houses|808|8 largest firms|||2012|71||379307||28.2||41281||9682||1105|
01|00|0100000US|United States|72|7213|Rooming and boarding houses|820|20 largest firms|||2012|113||523957||38.9||73251||17307||2563|
01|00|0100000US|United States|72|7213|Rooming and boarding houses|850|50 largest firms|||2012|167||654888||48.6||97094||22906||3620|
01|00|0100000US|United States|72|72131|Rooming and boarding houses|001|All firms|||2012|2130||1347371||100.0||217666||55024||11921|
01|00|0100000US|United States|72|72131|Rooming and boarding houses|804|4 largest firms|||2012|21||282394||21.0||31828||7430||670|
01|00|0100000US|United States|72|72131|Rooming and boarding houses|808|8 largest firms|||2012|71||379307||28.2||41281||9682||1105|
01|00|0100000US|United States|72|72131|Rooming and boarding houses|820|20 largest firms|||2012|113||523957||38.9||73251||17307||2563|
01|00|0100000US|United States|72|72131|Rooming and boarding houses|850|50 largest firms|||2012|167||654888||48.6||97094||22906||3620|
01|00|0100000US|United States|72|721310|Rooming and boarding houses|001|All firms|||2012|2130||1347371||100.0||217666||55024||11921|
01|00|0100000US|United States|72|721310|Rooming and boarding houses|804|4 largest firms|||2012|21||282394||21.0||31828||7430||670|
01|00|0100000US|United States|72|721310|Rooming and boarding houses|808|8 largest firms|||2012|71||379307||28.2||41281||9682||1105|
01|00|0100000US|United States|72|721310|Rooming and boarding houses|820|20 largest firms|||2012|113||523957||38.9||73251||17307||2563|
01|00|0100000US|United States|72|721310|Rooming and boarding houses|850|50 largest firms|||2012|167||654888||48.6||97094||22906||3620|
01|00|0100000US|United States|72|722|Food services and drinking places|001|All firms|||2012|598656||512280210||100.0||145982682||35226022||10057608|
01|00|0100000US|United States|72|722|Food services and drinking places|804|4 largest firms|||2012|21905||32408485||6.3||9401841||2343120||503446|
01|00|0100000US|United States|72|722|Food services and drinking places|808|8 largest firms|||2012|30124||50634772||9.9||15076196||3828523||841928|
01|00|0100000US|United States|72|722|Food services and drinking places|820|20 largest firms|||2012|40200||73189893||14.3||21792502||5511612||1251036|
01|00|0100000US|United States|72|722|Food services and drinking places|850|50 largest firms|||2012|53546||98688064||19.3||29409454||7432830||1751599|
01|00|0100000US|United States|72|7223|Special food services|001|All firms|||2012|38974||45212208||100.0||12734406||3027922||659825|
01|00|0100000US|United States|72|7223|Special food services|804|4 largest firms|||2012|17743||24682145||54.6||6831134||1709763||330751|
01|00|0100000US|United States|72|7223|Special food services|808|8 largest firms|||2012|18110||27903396||61.7||7611947||1885247||375133|
01|00|0100000US|United States|72|7223|Special food services|820|20 largest firms|||2012|19162||30800069||68.1||8490283||2091872||415258|
01|00|0100000US|United States|72|7223|Special food services|850|50 largest firms|||2012|20720||32696668||72.3||9017372||2223328||446338|
01|00|0100000US|United States|72|72231|Food service contractors|001|All firms|||2012|25857||37009096||100.0||10334974||2538647||518939|
01|00|0100000US|United States|72|72231|Food service contractors|804|4 largest firms|||2012|17738||24656338||66.6||6822434||1708136||329940|
01|00|0100000US|United States|72|72231|Food service contractors|808|8 largest firms|||2012|18098||27828693||75.2||7587019||1880295||373377|
01|00|0100000US|United States|72|72231|Food service contractors|820|20 largest firms|||2012|19140||30715315||83.0||8462539||2086270||413376|
01|00|0100000US|United States|72|72231|Food service contractors|850|50 largest firms|||2012|20691||32583313||88.0||8979993||2216440||443880|
01|00|0100000US|United States|72|722310|Food service contractors|001|All firms|||2012|25857||37009096||100.0||10334974||2538647||518939|
01|00|0100000US|United States|72|722310|Food service contractors|804|4 largest firms|||2012|17738||24656338||66.6||6822434||1708136||329940|
01|00|0100000US|United States|72|722310|Food service contractors|808|8 largest firms|||2012|18098||27828693||75.2||7587019||1880295||373377|
01|00|0100000US|United States|72|722310|Food service contractors|820|20 largest firms|||2012|19140||30715315||83.0||8462539||2086270||413376|
01|00|0100000US|United States|72|722310|Food service contractors|850|50 largest firms|||2012|20691||32583313||88.0||8979993||2216440||443880|
01|00|0100000US|United States|72|72232|Caterers|001|All firms|||2012|10265||7542609||100.0||2266755||463462||131894|
01|00|0100000US|United States|72|72232|Caterers|804|4 largest firms|||2012|12||137237||1.8||41953||10311||2195|
01|00|0100000US|United States|72|72232|Caterers|808|8 largest firms|||2012|20||252129||3.3||68445||15733||3308|
01|00|0100000US|United States|72|72232|Caterers|820|20 largest firms|||2012|44||527625||7.0||168836||37410||7630|
01|00|0100000US|United States|72|72232|Caterers|850|50 largest firms|||2012|109||969433||12.9||310602||63777||13109|
01|00|0100000US|United States|72|722320|Caterers|001|All firms|||2012|10265||7542609||100.0||2266755||463462||131894|
01|00|0100000US|United States|72|722320|Caterers|804|4 largest firms|||2012|12||137237||1.8||41953||10311||2195|
01|00|0100000US|United States|72|722320|Caterers|808|8 largest firms|||2012|20||252129||3.3||68445||15733||3308|
01|00|0100000US|United States|72|722320|Caterers|820|20 largest firms|||2012|44||527625||7.0||168836||37410||7630|
01|00|0100000US|United States|72|722320|Caterers|850|50 largest firms|||2012|109||969433||12.9||310602||63777||13109|
01|00|0100000US|United States|72|72233|Mobile food services|001|All firms|||2012|2852||660503||100.0||132677||25813||8992|
01|00|0100000US|United States|72|72233|Mobile food services|804|4 largest firms|||2012|5||44896||6.8||5644||1114||265|
01|00|0100000US|United States|72|72233|Mobile food services|808|8 largest firms|||2012|9||69869||10.6||12746||2219||772|
01|00|0100000US|United States|72|72233|Mobile food services|820|20 largest firms|||2012|24||112930||17.1||20322||3823||1247|
01|00|0100000US|United States|72|72233|Mobile food services|850|50 largest firms|||2012|57||182478||27.6||36761||7033||1905|
01|00|0100000US|United States|72|722330|Mobile food services|001|All firms|||2012|2852||660503||100.0||132677||25813||8992|
01|00|0100000US|United States|72|722330|Mobile food services|804|4 largest firms|||2012|5||44896||6.8||5644||1114||265|
01|00|0100000US|United States|72|722330|Mobile food services|808|8 largest firms|||2012|9||69869||10.6||12746||2219||772|
01|00|0100000US|United States|72|722330|Mobile food services|820|20 largest firms|||2012|24||112930||17.1||20322||3823||1247|
01|00|0100000US|United States|72|722330|Mobile food services|850|50 largest firms|||2012|57||182478||27.6||36761||7033||1905|
01|00|0100000US|United States|72|7224|Drinking places (alcoholic beverages)|001|All firms|||2012|41774||19725909||100.0||4698636||1144602||356512|
01|00|0100000US|United States|72|7224|Drinking places (alcoholic beverages)|804|4 largest firms|||2012|232||484743||2.5||107662||27726||5979|
01|00|0100000US|United States|72|7224|Drinking places (alcoholic beverages)|808|8 largest firms|||2012|309||709313||3.6||149970||37609||8247|
01|00|0100000US|United States|72|7224|Drinking places (alcoholic beverages)|820|20 largest firms|||2012|393||1097152||5.6||254862||63587||13310|
01|00|0100000US|United States|72|7224|Drinking places (alcoholic beverages)|850|50 largest firms|||2012|503||1618142||8.2||391994||97152||19180|
01|00|0100000US|United States|72|72241|Drinking places (alcoholic beverages)|001|All firms|||2012|41774||19725909||100.0||4698636||1144602||356512|
01|00|0100000US|United States|72|72241|Drinking places (alcoholic beverages)|804|4 largest firms|||2012|232||484743||2.5||107662||27726||5979|
01|00|0100000US|United States|72|72241|Drinking places (alcoholic beverages)|808|8 largest firms|||2012|309||709313||3.6||149970||37609||8247|
01|00|0100000US|United States|72|72241|Drinking places (alcoholic beverages)|820|20 largest firms|||2012|393||1097152||5.6||254862||63587||13310|
01|00|0100000US|United States|72|72241|Drinking places (alcoholic beverages)|850|50 largest firms|||2012|503||1618142||8.2||391994||97152||19180|
01|00|0100000US|United States|72|722410|Drinking places (alcoholic beverages)|001|All firms|||2012|41774||19725909||100.0||4698636||1144602||356512|
01|00|0100000US|United States|72|722410|Drinking places (alcoholic beverages)|804|4 largest firms|||2012|232||484743||2.5||107662||27726||5979|
01|00|0100000US|United States|72|722410|Drinking places (alcoholic beverages)|808|8 largest firms|||2012|309||709313||3.6||149970||37609||8247|
01|00|0100000US|United States|72|722410|Drinking places (alcoholic beverages)|820|20 largest firms|||2012|393||1097152||5.6||254862||63587||13310|
01|00|0100000US|United States|72|722410|Drinking places (alcoholic beverages)|850|50 largest firms|||2012|503||1618142||8.2||391994||97152||19180|
01|00|0100000US|United States|72|7225|Restaurants and other eating places|001|All firms|||2012|517908||447342093||100.0||128549640||31053498||9041271|
01|00|0100000US|United States|72|7225|Restaurants and other eating places|804|4 largest firms|||2012|11673||25015504||5.6||7663614||1969619||478853|
01|00|0100000US|United States|72|7225|Restaurants and other eating places|808|8 largest firms|||2012|16496||35710586||8.0||10924411||2805548||673767|
01|00|0100000US|United States|72|7225|Restaurants and other eating places|820|20 largest firms|||2012|25277||53371865||11.9||16385758||4143314||1005529|
01|00|0100000US|United States|72|7225|Restaurants and other eating places|850|50 largest firms|||2012|37649||74360775||16.6||22717446||5767318||1454620|
01|00|0100000US|United States|72|72251|Restaurants and other eating places|001|All firms|||2012|517908||447342093||100.0||128549640||31053498||9041271|
01|00|0100000US|United States|72|72251|Restaurants and other eating places|804|4 largest firms|||2012|11673||25015504||5.6||7663614||1969619||478853|
01|00|0100000US|United States|72|72251|Restaurants and other eating places|808|8 largest firms|||2012|16496||35710586||8.0||10924411||2805548||673767|
01|00|0100000US|United States|72|72251|Restaurants and other eating places|820|20 largest firms|||2012|25277||53371865||11.9||16385758||4143314||1005529|
01|00|0100000US|United States|72|72251|Restaurants and other eating places|850|50 largest firms|||2012|37649||74360775||16.6||22717446||5767318||1454620|
01|00|0100000US|United States|72|722511|Full-service restaurants|001|All firms|||2012|231927||224320799||100.0||74086843||18051011||4772294|
01|00|0100000US|United States|72|722511|Full-service restaurants|804|4 largest firms|||2012|4707||17712639||7.9||6870435||1789822||409254|
01|00|0100000US|United States|72|722511|Full-service restaurants|808|8 largest firms|||2012|6630||23605606||10.5||9070075||2335925||531923|
01|00|0100000US|United States|72|722511|Full-service restaurants|820|20 largest firms|||2012|12051||34241421||15.3||12916546||3313065||783480|
01|00|0100000US|United States|72|722511|Full-service restaurants|850|50 largest firms|||2012|15205||44478577||19.8||16515691||4211328||995125|
01|00|0100000US|United States|72|722513|Limited-service restaurants|001|All firms|||2012|224766||185366032||100.0||45377104||10865172||3588611|
01|00|0100000US|United States|72|722513|Limited-service restaurants|804|4 largest firms|||2012|6185||11466618||6.2||2680267||695687||199119|
01|00|0100000US|United States|72|722513|Limited-service restaurants|808|8 largest firms|||2012|10130||16888157||9.1||4012211||1014990||279895|
01|00|0100000US|United States|72|722513|Limited-service restaurants|820|20 largest firms|||2012|16265||24577240||13.3||6036660||1537993||442476|
01|00|0100000US|United States|72|722513|Limited-service restaurants|850|50 largest firms|||2012|23237||32305016||17.4||8099037||2028595||589316|
01|00|0100000US|United States|72|722514|Cafeterias, grill buffets, and buffets|001|All firms|||2012|6373||6720567||100.0||1685878||427054||127496|
01|00|0100000US|United States|72|722514|Cafeterias, grill buffets, and buffets|804|4 largest firms|||2012|864||1984822||29.5||500111||132252||38986|
01|00|0100000US|United States|72|722514|Cafeterias, grill buffets, and buffets|808|8 largest firms|||2012|1052||2509483||37.3||647326||169338||49249|
01|00|0100000US|United States|72|722514|Cafeterias, grill buffets, and buffets|820|20 largest firms|||2012|1220||2982236||44.4||776133||201224||58553|
01|00|0100000US|United States|72|722514|Cafeterias, grill buffets, and buffets|850|50 largest firms|||2012|1319||3320704||49.4||862455||221498||64471|
01|00|0100000US|United States|72|722515|Snack and nonalcoholic beverage bars|001|All firms|||2012|54842||30934695||100.0||7399815||1710261||552870|
01|00|0100000US|United States|72|722515|Snack and nonalcoholic beverage bars|804|4 largest firms|||2012|8168||11118017||35.9||2506848||591557||149794|
01|00|0100000US|United States|72|722515|Snack and nonalcoholic beverage bars|808|8 largest firms|||2012|9324||12227424||39.5||2776521||655547||167397|
01|00|0100000US|United States|72|722515|Snack and nonalcoholic beverage bars|820|20 largest firms|||2012|9991||13244350||42.8||3026066||713957||184882|
